#{"t_start": 1764082911.23072, "env_id": "None"}
r,l,t
-69.385714,156,0.526839
-75.977067,160,0.559557
-78.2,159,0.590993
-77.2,157,0.625422
-83.1,160,0.6574
-86.0,157,0.688489
-74.05,155,0.7201
-70.635714,200,0.759776
-81.15,161,0.791453
-85.3,159,0.823721
-66.445155,155,0.856678
-71.726809,163,0.888866
-72.75,157,0.943222
-70.179507,155,0.97871
-71.9,155,1.009056
-75.85,152,1.040312
-70.835714,155,1.070348
-77.4,153,1.100624
-68.435714,161,1.134189
-73.513624,167,1.168059
-70.04887,162,1.202192
-71.035714,164,1.236254
-76.85,154,1.267133
-78.492156,160,1.298801
-80.25,154,1.328953
-72.935714,182,1.366593
-67.65,155,1.396656
-64.885714,157,1.427695
-67.442327,160,1.460384
-76.784458,160,1.491933
-71.843625,163,1.526264
-75.4,159,1.559324
-70.735714,155,1.589883
-74.1,155,1.620252
-73.040574,161,1.652781
-59.185714,158,1.684471
-62.635714,159,1.716104
-72.420413,200,1.755488
-65.935714,161,1.788535
-73.062137,164,1.821182
-64.885714,154,1.854441
-66.111991,161,1.888081
-66.194671,156,1.919247
-57.261503,156,1.950774
-71.103497,167,1.985416
-66.835714,159,2.017218
-72.028524,154,2.047567
-75.15,155,2.079373
-68.185714,160,2.111627
-73.8,154,2.142471
-63.885714,155,2.175796
-66.135714,163,2.20988
-75.435714,200,2.249864
-70.085714,162,2.281614
-61.761632,164,2.31601
-75.3,158,2.347997
-78.5,159,2.379778
-64.171429,168,2.414788
-67.261095,162,2.447117
-64.784218,200,2.487975
-54.671352,166,2.525075
-70.5,159,2.55675
-65.375539,157,2.588552
-75.114111,162,2.62194
-61.904899,160,2.654162
-67.65,150,2.684306
-67.327156,159,2.717118
-66.685714,169,2.751848
-76.75,155,2.78312
-69.105331,162,2.817276
-63.835714,157,2.850914
-59.185714,158,2.883728
-61.735714,153,2.91515
-74.6,160,2.947859
-57.447519,163,2.981135
-68.976258,160,3.013819
-66.172284,162,3.047593
-69.777038,163,3.080527
-56.635938,159,3.112717
-65.285714,161,3.147098
-62.371429,174,3.185314
-55.785714,156,3.217135
-65.585392,161,3.251188
-68.8,151,3.281472
-82.05,159,3.313558
-63.763078,151,3.345135
-64.621429,200,3.38632
-66.185714,156,3.418128
-65.235714,167,3.45398
-68.627926,163,3.486964
-63.434357,153,3.520408
-62.17179,163,3.554831
-62.271429,179,3.592211
-63.466339,156,3.624037
-62.688647,157,3.657145
-66.235714,163,3.690846
-54.021429,156,3.722707
-62.121429,200,3.76439
-67.228051,156,3.796581
-64.835714,151,3.827575
-55.871429,184,3.869285
-56.735714,162,3.902576
-61.321429,191,3.942035
-63.985714,156,3.974941
-62.307102,157,4.007417
-75.65,160,4.040339
-67.935714,166,4.075401
-63.785714,179,4.112692
-65.343327,154,4.144337
-70.388296,160,4.17838
-72.273479,195,4.221283
-59.021429,160,4.254107
-56.392002,172,4.29117
-64.264601,162,4.324496
-52.985714,160,4.357562
-64.271429,186,4.397327
-57.871429,165,4.431946
-64.671429,183,4.47015
-60.485714,161,4.504152
-69.026061,158,4.537066
-75.5,161,4.5719
-56.785714,158,4.605595
-59.935714,161,4.639648
-64.135714,163,4.673472
-53.207955,160,4.707913
-62.135714,178,4.746157
-73.75,157,4.779022
-65.835714,157,4.812412
-51.985714,169,4.848581
-54.335714,162,4.882344
-63.485714,156,4.917388
-55.171429,166,4.95378
-66.017102,164,4.988408
-58.221429,162,5.0231
-65.95,159,5.056832
-61.599022,156,5.090059
-66.235714,159,5.124032
-51.335714,155,5.156963
-55.721429,161,5.190741
-57.635714,158,5.223539
-60.023356,159,5.259998
-56.174833,166,5.294541
-64.085714,166,5.329127
-64.5,155,5.362962
-62.485714,174,5.398845
-55.039407,161,5.432182
-59.571429,161,5.467244
-57.685714,154,5.499469
-64.034202,158,5.53243
-58.171429,160,5.567059
-66.885714,171,5.605042
-62.885271,173,5.641597
-69.285714,166,5.676889
-67.560982,164,5.711934
-55.071429,171,5.747861
-57.802632,166,5.783509
-66.571429,200,5.825222
-66.771429,199,5.868669
-63.321429,200,5.910495
-66.281737,161,5.944463
-65.123428,167,5.983657
-54.585714,159,6.017162
-65.534981,157,6.05041
-61.296999,169,6.086429
-60.371429,195,6.127949
-57.971429,161,6.162253
-60.485714,167,6.198897
-65.258736,162,6.233135
-53.471429,155,6.266124
-63.535714,161,6.301347
-53.371429,164,6.338766
-73.7,157,6.372326
-63.385714,156,6.407109
-56.471429,167,6.442537
-58.985714,160,6.475948
-65.235714,173,6.514471
-62.025352,162,6.549084
-64.511886,157,6.582589
-57.721429,184,6.623507
-56.371429,175,6.660955
-49.190105,153,6.696958
-52.485714,159,6.731812
-60.323313,157,6.76591
-58.989792,159,6.800023
-59.91348,158,6.835599
-60.426836,160,6.869897
-58.171429,183,6.908899
-58.321429,188,6.950027
-56.135714,160,6.984162
-65.272649,166,7.019727
-53.121429,163,7.058269
-65.821429,197,7.100155
-49.921429,148,7.132429
-61.221429,164,7.168285
-65.127779,157,7.201693
-59.271429,200,7.245523
-61.821429,194,7.288041
-62.885714,156,7.321165
-59.97687,191,7.363862
-65.285714,178,7.401622
-57.335714,159,7.438931
-69.2,152,7.473285
-55.485714,160,7.50813
-55.221429,154,7.540744
-56.321429,192,7.583467
-54.509151,191,7.624799
-53.472758,160,7.660566
-65.871429,185,7.70094
-59.626825,186,7.741351
-63.851003,192,7.783978
-47.757143,163,7.822107
-56.6684,164,7.857345
-57.021429,200,7.902162
-56.171429,167,7.937407
-50.721429,157,7.971061
-55.321429,165,8.007767
-62.238543,162,8.041963
-44.557143,200,8.086973
-56.557143,194,8.129932
-57.421429,200,8.173919
-53.765568,158,8.211479
-59.085714,161,8.247492
-63.766578,191,8.291283
-62.121429,198,8.336207
-58.458797,159,8.371266
-56.871429,200,8.417751
-58.721429,200,8.461141
-59.194229,161,8.496383
-62.735714,165,8.532472
-60.620181,165,8.568307
-60.177616,165,8.607912
-54.771429,200,8.652396
-63.435714,185,8.6926
-55.998179,161,8.729138
-60.271429,190,8.771056
-59.035714,152,8.804132
-63.969734,200,8.848778
-61.377774,154,8.881607
-60.181675,188,8.923408
-58.710294,200,8.966994
-54.566245,157,9.004339
-53.722682,200,9.049905
-57.448074,162,9.086282
-49.366927,200,9.131283
-54.625528,161,9.16688
-53.897717,152,9.200945
-56.221429,200,9.246558
-59.897112,168,9.283627
-59.074819,158,9.318504
-49.390038,200,9.363331
-44.387333,200,9.409963
-59.785714,167,9.448109
-53.21417,169,9.485844
-60.591941,160,9.520903
-57.645873,154,9.582746
-58.671429,195,9.626362
-64.522597,194,9.669783
-59.161952,197,9.714366
-51.425021,192,9.758583
-56.46592,200,9.802427
-61.985714,197,9.847592
-67.335714,160,9.883679
-49.696558,200,9.927603
-60.643465,192,9.973084
-49.268042,200,10.017861
-54.031901,158,10.052559
-52.93074,153,10.088275
-58.119312,165,10.124097
-54.414565,199,10.169316
-54.465904,200,10.213754
-55.484675,162,10.251618
-64.671429,193,10.295288
-49.424317,197,10.339188
-62.982249,197,10.384658
-60.498188,162,10.420281
-51.821429,171,10.458388
-50.326433,160,10.495335
-58.186907,148,10.527614
-55.555192,164,10.563477
-44.793384,200,10.610179
-51.621429,167,10.65024
-57.168246,157,10.686409
-57.021577,153,10.72061
-56.798331,157,10.755833
-50.586454,166,10.794164
-54.245346,155,10.829296
-55.827916,196,10.873641
-57.310929,162,10.91086
-49.457143,157,10.946515
-63.985714,167,10.982744
-50.681886,159,11.022179
-44.446851,200,11.068013
-52.221429,163,11.104795
-49.571429,151,11.140044
-50.821429,158,11.175594
-56.473125,167,11.310884
-51.632338,152,11.595354
-51.771429,161,11.803188
-52.529938,164,11.994571
-52.760097,166,12.121984
-53.171429,157,12.16259
-50.721429,164,12.200161
-57.471429,165,12.2386
-53.171429,161,12.275751
-49.350926,155,12.312338
-51.674746,159,12.348394
-53.785714,164,12.38512
-62.035714,172,12.425039
-66.326677,193,12.468924
-49.371429,161,12.505603
-51.138847,166,12.547378
-54.971429,171,12.586319
-50.971429,160,12.622764
-47.065907,163,12.661697
-66.185714,182,12.703317
-55.7911,160,12.740559
-60.285714,176,12.781339
-65.935714,170,12.819429
-58.485714,166,12.858888
-54.585714,164,12.895985
-66.735714,186,12.941014
-53.985714,164,12.98071
-49.007143,170,13.019404
-63.085714,178,13.061468
-50.821429,156,13.097448
-50.771429,165,13.135347
-44.785714,200,13.181999
-48.671429,160,13.218857
-51.571429,159,13.254087
-55.885714,160,13.291922
-52.471429,164,13.331394
-55.521429,160,13.368368
-47.071429,154,13.404645
-53.671429,160,13.44103
-51.033648,162,13.478765
-49.589639,159,13.515753
-54.671429,164,13.55253
-56.035714,167,13.591392
-53.571429,154,13.62623
-54.635714,167,13.664041
-51.521429,159,13.707727
-49.732792,165,13.750246
-49.821429,158,13.788593
-70.221429,188,13.838533
-49.621429,171,13.877169
-46.771429,200,13.92466
-54.421429,166,13.962783
-46.557143,200,14.009767
-48.907143,200,14.055982
-53.721429,165,14.09326
-52.371429,158,14.13229
-46.107143,200,14.178747
-48.282401,160,14.216623
-48.057143,200,14.262935
-52.435714,163,14.299041
-51.657143,195,14.345433
-47.721429,159,14.381536
-47.921429,161,14.419435
-61.471429,195,14.46428
-40.421429,200,14.509839
-49.189325,154,14.549139
-53.971429,165,14.586849
-49.771429,166,14.625908
-38.457143,200,14.672496
-48.671429,167,14.712886
-54.585714,171,14.755386
-44.071027,159,14.797274
-54.685714,165,14.837213
-46.871429,174,14.878614
-49.357143,179,14.931558
-53.921429,159,14.975573
-49.635714,157,15.013151
-50.045709,165,15.052981
-41.157143,200,15.106543
-49.721429,157,15.143327
-43.671429,162,15.183978
-54.421429,187,15.228287
-49.371429,164,15.267754
-55.021429,162,15.305647
-54.985714,188,15.349333
-48.515154,153,15.388232
-51.671429,168,15.427227
-49.921429,158,15.463448
-44.342837,162,15.501754
-49.321429,165,15.539806
-41.157143,155,15.575691
-46.471429,154,15.612698
-43.221429,200,15.659412
-62.107143,190,15.70449
-31.742857,200,15.751235
-47.021429,167,15.794239
-47.271429,155,15.830061
-44.671429,200,15.876723
-44.807143,200,15.924731
-48.123811,200,15.970969
-51.717186,185,16.015465
-43.760507,161,16.052741
-39.949061,200,16.100215
-40.999928,200,16.147421
-39.757143,152,16.183441
-39.056571,167,16.22635
-36.544176,187,16.276952
-43.907143,161,16.329972
-42.957143,188,16.376791
-55.871429,191,16.423281
-45.307143,200,16.470217
-59.107143,152,16.505162
-47.671429,168,16.547401
-55.129957,153,16.585125
-40.18515,168,16.625524
-38.057143,194,16.674138
-45.785639,200,16.720389
-46.742857,194,16.765652
-44.424391,200,16.812961
-37.587975,163,16.853029
-39.092857,199,16.900506
-41.496876,200,16.947887
-33.811575,200,16.995056
-35.216421,200,17.041507
-38.096301,200,17.089969
-40.082147,160,17.130007
-54.37329,190,17.175349
-31.88002,200,17.22286
-39.441995,176,17.26499
-57.066433,159,17.302788
-39.666854,154,17.337911
-51.457143,161,17.376832
-63.113647,165,17.415003
-52.835714,157,17.451716
-36.529669,181,17.495482
-52.707143,151,17.533767
-47.007143,163,17.573108
-41.896324,185,17.616412
-39.584644,195,17.663002
-39.347968,192,17.729127
-40.816631,164,17.768752
-36.048803,189,17.815203
-40.655277,177,17.85665
-40.824226,154,17.894513
-38.430372,157,17.932413
-41.707143,164,18.002604
-46.793016,154,18.039575
-40.162414,157,18.077426
-41.131357,151,18.11457
-46.59746,165,18.153363
-46.826314,163,18.191631
-45.202014,159,18.23017
-38.263437,185,18.274872
-43.142695,167,18.315083
-38.663613,194,18.383067
-37.008082,184,18.484903
-43.26079,200,18.567436
-45.321429,163,18.611672
-37.478371,182,18.671912
-39.8904,163,18.716447
-53.37819,163,18.764593
-46.509336,156,18.802915
-55.007143,165,18.845387
-29.476832,200,18.89824
-44.312414,162,18.975898
-40.776874,157,19.023613
-39.4625,185,19.092552
-37.018635,185,19.148335
-31.57027,200,19.211097
-41.008153,159,19.259632
-45.362794,165,19.301594
-54.455165,158,19.342463
-43.428538,168,19.389558
-48.807143,161,19.428684
-39.007143,162,19.475751
-45.278878,163,19.519304
-37.157143,150,19.562665
-46.35034,167,19.604727
-27.577821,200,19.657303
-38.654916,167,19.709556
-33.083627,200,19.757166
-38.71011,164,19.797179
-39.714138,159,19.836247
-40.349377,166,19.876406
-52.507751,171,19.918533
-18.735163,200,19.970529
-34.354281,184,20.017243
-30.786313,182,20.061425
-45.41988,192,20.108922
-33.930216,192,20.155219
-8.138407,200,20.203748
-33.592857,193,20.25439
-48.738709,180,20.299691
-32.840251,186,20.354674
-51.757143,163,20.395128
-30.557143,200,20.460136
-35.921429,158,20.502521
-37.657143,161,20.54549
-37.157143,165,20.586599
-46.007143,158,20.646419
-30.757143,200,20.697422
-36.561815,194,20.744245
-24.30653,200,20.793347
-37.457143,158,20.831516
-26.828878,200,20.88116
-30.865368,200,20.93215
-38.955709,200,20.981682
-51.904225,185,21.027379
-50.924172,200,21.079555
-20.085711,200,21.131056
-45.957143,162,21.174458
-46.045141,189,21.221783
-33.774303,188,21.268656
-35.479909,200,21.318103
-34.821429,165,21.358105
-28.877877,187,21.407151
-34.734093,200,21.455616
-43.972908,166,21.496845
-43.971505,186,21.542584
-31.326547,156,21.580412
-35.021429,160,21.620968
-48.657143,193,21.667745
-34.044566,195,21.716367
-33.78687,190,21.762249
-11.107143,200,21.811928
7.746014,200,21.863401
-31.761137,200,21.913512
-55.895832,165,21.953671
-29.28196,200,22.002145
-27.777135,200,22.052286
-29.509939,187,22.09753
-54.557143,156,22.137233
-30.607973,186,22.182349
-26.477942,200,22.232747
-23.2622,200,22.281375
8.302191,200,22.334075
-19.753675,200,22.383334
-24.869224,189,22.430289
-24.768905,200,22.479442
-31.005488,180,22.523134
-20.643338,200,22.572742
-25.248788,200,22.621439
-23.271429,200,22.67192
-21.891463,200,22.720634
-35.488073,200,22.770766
-24.04528,200,22.821885
-22.91884,200,22.872716
-8.887493,200,22.921774
-10.982653,200,22.971734
-6.127446,200,23.020603
-22.061272,200,23.070313
-10.522597,200,23.119705
-42.459191,164,23.161772
-13.571975,200,23.216919
-23.753795,200,23.272378
-6.194763,200,23.324775
-21.076586,200,23.375297
-27.851101,200,23.425129
-22.691024,200,23.474246
-31.29245,200,23.524888
-25.039943,200,23.573839
-27.820522,200,23.626327
-33.163001,200,23.681101
-25.821429,200,23.85858
-20.332982,200,23.964713
-24.108938,200,24.024085
-17.60067,200,24.074765
-35.224254,198,24.125416
-19.845179,200,24.175467
-22.132206,200,24.227889
-23.943787,200,24.281557
-18.416836,200,24.338585
-23.449771,200,24.38905
-28.054372,188,24.438393
