#{"t_start": 1764231634.284951, "env_id": "None"}
r,l,t
-64.085714,156,0.361539
-74.45,157,0.383374
-64.135714,169,0.406305
-77.2,154,0.427199
-76.2,156,0.49391
-71.535714,200,0.521083
-76.5,152,0.541577
-78.2,164,0.563557
-75.253954,164,0.585928
-73.020212,156,0.60679
-62.740232,160,0.803508
-85.25,153,0.824611
-72.144455,162,0.847116
-67.171429,172,0.870718
-79.6,157,0.892143
-76.1,155,0.913865
-67.91638,164,0.936267
-76.285714,173,0.960001
-77.7,152,0.980674
-75.55,157,1.002454
-80.25,163,1.200235
-84.2,151,1.221731
-76.45,156,1.243578
-66.806106,157,1.266388
-71.292627,156,1.287753
-70.945572,163,1.309987
-69.685714,156,1.33119
-78.7,157,1.353136
-72.7,152,1.375178
-83.65,156,1.397379
-71.515586,154,1.59327
-79.05,163,1.616319
-76.488466,156,1.638204
-61.285714,162,1.660972
-62.247532,163,1.68428
-76.082574,157,1.706404
-62.185714,153,1.727742
-73.5,157,1.749543
-77.05,158,1.772114
-61.299504,163,1.795118
-80.4,152,2.000726
-67.685714,170,2.024187
-73.176102,161,2.046697
-64.185714,159,2.068859
-73.8,156,2.090484
-68.435714,165,2.11339
-69.157099,156,2.135573
-75.35,159,2.157704
-75.547433,158,2.179252
-84.15,160,2.201352
-70.85,150,2.444926
-81.415743,163,2.468323
-79.3,161,2.491034
-70.179336,160,2.513118
-81.7,154,2.534973
-80.95,160,2.557117
-72.256288,152,2.578122
-84.6,151,2.599566
-77.384727,163,2.62222
-67.615331,153,2.64321
-81.95,160,2.847716
-73.9,152,2.86812
-67.557661,161,2.889683
-71.144088,156,2.911228
-75.850069,152,2.93212
-65.499767,155,2.954112
-72.209506,157,2.975749
-80.05,156,2.997198
-60.035714,164,3.019794
-60.985714,160,3.042496
-71.9,153,3.237616
-70.5,153,3.259191
-69.426675,158,3.281024
-76.15,155,3.302899
-77.6,165,3.32572
-72.335714,160,3.347784
-73.15,157,3.370001
-67.785714,157,3.391442
-77.497359,161,3.413327
-67.486511,159,3.434912
-66.262674,164,3.632527
-63.018575,160,3.655146
-74.562296,165,3.678321
-79.510021,159,3.700583
-72.65,153,3.722416
-76.95,157,3.74424
-72.463422,160,3.766441
-68.385714,170,3.790137
-71.992651,161,3.812036
-71.789834,156,3.833149
-68.471429,200,4.040651
-78.8,151,4.061998
-68.384357,167,4.085204
-79.15,152,4.106369
-69.68178,159,4.128563
-74.985714,177,4.153927
-66.309824,169,4.177633
-79.4,158,4.199658
-75.45,149,4.220754
-73.4,167,4.29441
-69.935714,158,4.516528
-67.685714,200,4.544584
-79.85,151,4.566303
-77.896982,163,4.589133
-64.430944,167,4.612547
-67.615587,159,4.634808
-61.630297,153,4.656649
-84.2,165,4.67948
-74.40186,164,4.702369
-71.051798,162,4.725706
-75.55,155,4.936661
-73.9,153,4.958254
-82.15,161,4.980667
-67.685714,161,5.003145
-68.714506,166,5.026704
-83.65,153,5.067071
-72.816562,163,5.103154
-79.85,159,5.130486
-69.1,163,5.154104
-72.607212,162,5.178625
-64.48482,160,5.413376
-76.0,160,5.442442
-66.297288,167,5.471557
-68.185714,161,5.49539
-74.112712,160,5.518148
-78.25,162,5.543853
-80.05,160,5.568014
-71.479918,160,5.592339
-67.685714,180,5.619796
-72.15,155,5.641548
-63.2,158,5.848317
-74.75,150,5.86955
-75.112556,162,5.892559
-63.285714,159,5.915222
-80.15,154,5.937825
-76.0,160,5.960702
-68.340027,156,5.982761
-61.571787,159,6.004573
-77.95,157,6.025965
-67.385714,181,6.051374
-76.65,149,6.252565
-73.9,159,6.275118
-70.935714,165,6.298589
-73.490645,163,6.322155
-64.271429,200,6.350229
-68.407742,161,6.373126
-68.183101,162,6.395972
-74.311672,161,6.469015
-78.4,159,6.491767
-69.891828,167,6.51532
-69.9,157,6.724864
-69.0,158,6.746702
-68.344803,155,6.768105
-77.65,154,6.789424
-82.25,161,6.812204
-76.75,159,6.834014
-71.22311,154,6.855184
-69.071429,195,6.881982
-85.25,168,6.905476
-63.535714,185,6.930587
-71.783738,154,7.140798
-70.65,159,7.16186
-76.3,158,7.183144
-66.785714,160,7.20519
-59.385714,163,7.227571
-80.85,149,7.248593
-77.65,158,7.270294
-63.735714,160,7.292384
-75.0,156,7.313886
-64.285714,188,7.339964
-66.721429,172,7.541545
-67.385714,200,7.569699
-77.95,157,7.591515
-75.45,155,7.613445
-74.44686,157,7.635277
-70.3,156,7.656533
-65.0,153,7.677862
-77.835714,200,7.705182
-70.409684,158,7.726651
-72.562764,167,7.749426
-70.45,154,7.957249
-63.498427,163,7.979998
-66.735714,151,8.00099
-72.5,162,8.023729
-65.235714,200,8.052298
-69.685714,164,8.075318
-79.0,160,8.097691
-75.7,161,8.120354
-78.05,154,8.141371
-72.4,156,8.162578
-66.465616,162,8.372306
-69.05164,156,8.394425
-75.05,150,8.415556
-57.435714,159,8.437926
-73.635714,200,8.46626
-65.212308,159,8.487827
-74.65,153,8.509089
-81.2,165,8.5319
-81.15,159,8.602031
