#{"t_start": 1764358395.653888, "env_id": "None"}
r,l,t
-77.25,152,0.38867
-79.35,152,0.41636
-75.125681,163,0.445334
-72.785714,167,0.476777
-75.7,162,0.505666
-75.064562,200,0.540921
-74.25,154,0.679141
-65.296736,159,0.708174
-79.583898,165,0.737675
-75.65,154,0.764811
-78.35,159,0.794372
-74.55,156,0.822224
-68.880498,159,0.95067
-75.385714,200,0.987116
-75.503795,155,1.016201
-78.95,152,1.043574
-73.788834,154,1.071251
-69.654454,156,1.100326
-71.458906,164,1.228368
-60.185714,157,1.256609
-76.122446,167,1.286678
-69.40353,162,1.316907
-67.385714,163,1.346243
-67.921429,184,1.378979
-74.335714,195,1.51266
-61.835714,154,1.541704
-75.15,163,1.570885
-78.85,156,1.59892
-78.55,164,1.629427
-64.985714,164,1.658864
-74.358615,164,1.687938
-68.853629,154,1.813921
-71.8396,170,1.845716
-69.921898,163,1.874786
-71.35,154,1.902202
-64.121429,200,1.93846
-65.685826,164,1.967964
-69.954823,162,2.095716
-68.552963,158,2.123746
-58.457374,151,2.15143
-56.735714,159,2.180528
-77.785714,200,2.216076
-76.9,162,2.244508
-71.235714,192,2.377574
-69.235714,200,2.414752
-68.285714,161,2.443287
-79.95,165,2.474134
-67.831223,164,2.503672
-62.435714,173,2.534695
-63.935714,161,2.661966
-66.735714,200,2.698796
-69.85,160,2.727367
-63.635714,158,2.755772
-63.561427,157,2.78485
-61.735714,158,2.813425
-67.735714,199,2.947515
-71.45,155,2.975016
-62.396661,162,3.005056
-61.385714,184,3.038774
-63.587999,156,3.067282
-56.04657,155,3.095949
-70.95,155,3.227554
-62.785714,157,3.255928
-67.365048,157,3.283931
-67.815471,167,3.314776
-62.365257,155,3.342515
-64.141651,167,3.372184
-55.671429,170,3.402062
-57.258343,155,3.547696
-79.5,163,3.577037
-67.157552,155,3.604429
-59.785714,159,3.633726
-58.885714,165,3.663201
-67.235714,159,3.691598
-59.335714,162,3.820485
-59.485714,160,3.850205
-48.971429,163,3.879825
-48.107143,162,3.908989
-55.921429,163,3.93821
-59.618373,165,3.969093
-56.571429,176,4.098801
-57.235714,200,4.134833
-60.385714,200,4.171786
-57.835714,150,4.198766
-63.861407,165,4.228379
-57.170381,158,4.256621
-53.621429,191,4.390612
-49.523967,154,4.418717
-53.244457,165,4.448391
-54.885714,177,4.481043
-48.235714,176,4.512795
-59.311258,162,4.541822
-64.538407,160,4.668809
-66.2,157,4.699879
-54.635714,166,4.730657
-50.985714,167,4.762154
-49.647407,166,4.792761
-55.235714,161,4.822664
-55.485714,180,4.955111
-51.185714,154,4.983177
-50.385714,169,5.015309
-47.261859,159,5.043829
-48.178771,153,5.07137
-51.185714,159,5.099852
-46.371429,163,5.130123
-46.371429,156,5.256696
-66.4,150,5.284011
-49.935714,179,5.317079
-43.885714,157,5.34594
-50.635714,185,5.379206
-48.735714,164,5.408448
-52.550602,157,5.536299
-40.903162,163,5.565953
-43.585714,159,5.594324
-47.821429,192,5.628335
-57.867054,158,5.658047
-45.873345,156,5.686072
-53.59154,160,5.81287
-46.535714,168,5.843968
-48.985714,156,5.87227
-44.452414,165,5.90207
-53.85513,159,5.930574
-44.085714,162,5.96083
-46.663359,156,6.090645
-47.235714,172,6.121517
-44.62187,165,6.151604
-43.163348,170,6.183618
-56.009401,166,6.21332
-42.921429,165,6.242901
-49.471072,162,6.272948
-48.908454,163,6.400616
-50.871429,197,6.435891
-52.735714,159,6.464128
-47.771429,178,6.497024
-45.121429,160,6.525786
-47.535714,159,6.554359
-46.235714,160,6.68118
-54.385714,164,6.711958
-43.494024,152,6.739255
-50.864741,156,6.767194
-50.992589,162,6.796788
-49.885714,159,6.825564
-44.823308,156,6.951998
-52.071429,189,6.985835
-49.085714,161,7.015793
-55.04977,160,7.044714
-51.721429,181,7.077464
-48.172941,164,7.106915
-44.471429,157,7.235011
-43.121429,160,7.264008
-44.521429,182,7.296927
-41.235714,160,7.326724
-47.135714,168,7.357155
-50.085714,177,7.389021
-46.584549,165,7.516375
-43.083006,163,7.546787
-42.153333,159,7.575621
-47.212005,155,7.603396
-50.439335,164,7.632726
-43.880609,160,7.662575
-49.960291,151,7.689381
-45.174938,161,7.816472
-45.007386,171,7.84709
-45.885434,157,7.876987
-46.922921,158,7.90541
-40.545992,162,7.934166
-51.635714,179,7.967032
-40.535714,158,8.096676
-37.185582,163,8.125917
-41.513137,168,8.155627
-41.335714,159,8.185821
-41.494665,162,8.21502
-44.651947,165,8.244537
-47.085714,161,8.371113
-38.685714,164,8.402104
-45.535714,160,8.430755
-41.074495,162,8.459718
-43.136912,166,8.490651
-44.935714,172,8.521611
-43.346213,171,8.650478
-37.171429,155,8.678231
-34.821429,153,8.706974
-38.685714,166,8.73677
-38.885714,162,8.765929
-41.264381,154,8.793532
-36.571429,180,8.826651
-39.185714,158,8.95692
-37.885714,160,8.986018
-40.585714,159,9.015809
-43.685714,164,9.045783
-37.439799,154,9.073411
-46.421429,160,9.101849
-37.471429,152,9.228553
-42.785714,163,9.257658
-56.035714,185,9.290851
-41.085714,165,9.321102
-41.121429,162,9.350376
-56.935714,165,9.379957
-49.735714,157,9.507045
-43.985714,156,9.536635
-45.335714,169,9.567584
-39.035714,162,9.596866
-44.085714,161,9.62592
-37.671429,161,9.656053
-37.288758,160,9.685112
-39.446997,156,9.816506
-44.285714,159,9.847499
-41.985714,161,9.878515
-41.121429,157,9.906904
-44.885714,178,9.939202
-45.991413,161,9.969547
-45.285714,167,10.099761
-41.015919,166,10.130017
-86.2,157,10.159122
-40.535714,165,10.189165
-44.635714,162,10.218189
-48.535714,162,10.246772
-40.885714,157,10.374491
-53.023509,153,10.40241
-37.135714,155,10.43033
-56.605829,158,10.458474
-37.941251,155,10.487794
-50.366246,161,10.516728
-41.817609,162,10.545718
-36.885714,163,10.673174
-49.492219,162,10.703787
-43.369207,161,10.732791
-33.311701,159,10.76131
-41.771429,165,10.791472
-39.886994,163,10.821045
-43.071429,165,10.94903
-39.085714,160,10.977707
-42.133045,166,11.00878
-37.654494,154,11.036302
-43.485714,161,11.065129
-38.602661,158,11.093278
-36.321429,162,11.123477
-37.985714,168,11.252137
-38.979179,164,11.281358
-40.317636,161,11.309899
-34.407143,155,11.339025
-42.485714,152,11.366501
-43.635714,151,11.393717
-45.402462,156,11.519807
-41.806626,162,11.550572
-36.421429,150,11.577751
-43.235714,155,11.605298
-34.219643,170,11.69237
-41.726993,159,11.908796
-47.27957,157,12.001443
-40.421429,159,12.277091
-34.773477,165,12.308102
-34.521429,162,12.337035
-48.41173,157,12.365357
-42.835714,156,12.394071
-40.535714,168,12.425015
-37.771429,154,12.551051
-40.221429,164,12.581022
-37.578744,161,12.611226
-47.751099,162,12.640478
-45.617514,159,12.669119
-42.120881,156,12.69711
-42.035714,156,12.824267
-38.512226,162,12.853829
-43.010993,172,12.885225
-38.104736,157,12.913573
-47.335714,160,12.943838
-38.81287,161,12.972564
-39.061923,158,13.001061
-45.71432,157,13.133329
-45.185714,158,13.162583
-46.321776,155,13.190719
-43.035714,156,13.218803
-42.750681,174,13.251179
-36.271429,155,13.279466
-46.709509,159,13.40687
-32.971429,163,13.436153
-44.893613,153,13.465163
-40.685004,164,13.49449
-41.312242,168,13.524563
-53.101626,164,13.554727
-38.668303,159,13.681356
-54.200051,163,13.71084
-46.62414,153,13.738216
-39.878013,161,13.767671
-59.95,161,13.796864
-40.768493,168,13.82703
-39.303589,161,13.855795
-38.403723,166,13.985045
-44.319051,153,14.012848
-46.463609,164,14.042419
-44.982746,155,14.069992
-42.439189,164,14.100615
-32.821429,160,14.12945
-47.451805,158,14.2559
-46.242236,159,14.284481
-33.859581,153,14.313144
-43.261721,157,14.341185
-42.071429,162,14.370175
-46.508396,160,14.399717
-37.89262,163,14.429246
-44.174966,160,14.555428
-39.395758,160,14.584244
-47.982712,164,14.614334
-44.863814,166,14.644607
-31.521429,161,14.67379
-40.271429,162,14.702973
