#{"t_start": 1764356303.860343, "env_id": "None"}
r,l,t
-74.61121,156,0.397112
-72.235714,200,0.435279
-85.8,158,0.466834
-76.05,154,0.498217
-77.4,162,0.529013
-66.985714,169,0.561514
-77.55,159,0.59379
-69.9,158,0.625085
-72.779473,165,0.657365
-72.2,155,0.68733
-62.985714,157,0.717491
-73.623274,156,0.748045
-65.783496,150,0.777555
-72.2,154,0.807672
-74.65,153,0.835879
-69.05,162,0.868313
-66.65,156,0.899135
-57.885714,200,0.936717
-65.95,152,0.965623
-68.55,157,0.99712
-60.35,163,1.028743
-61.669442,157,1.057876
-68.1,156,1.086606
-70.95,157,1.119218
-67.9,160,1.149673
-62.985714,169,1.182564
-55.235714,155,1.212274
-58.497164,156,1.244481
-62.035714,199,1.282803
-74.95,163,1.31495
-77.1,164,1.345277
-58.544384,154,1.376991
-61.997237,162,1.40753
-64.66077,163,1.440035
-63.0,156,1.468855
-63.45,151,1.498879
-61.95,151,1.529502
-59.4,153,1.558078
-62.85,158,1.588147
-75.15,157,1.620052
-66.985714,157,1.651076
-65.95,156,1.680339
-64.776218,166,1.712199
-56.443478,159,1.744979
-64.6,158,1.776087
-53.135714,200,1.813667
-67.05,157,1.843792
-65.45,159,1.876483
-66.6,152,1.905222
-67.4,159,1.935635
-68.2,151,1.965191
-59.75,154,1.995604
-60.65,161,2.027019
-64.365578,160,2.057972
-61.296173,158,2.088497
-67.1,161,2.120232
-66.8,148,2.150336
-75.4,162,2.180679
-66.95,161,2.211478
-60.836898,156,2.242451
-61.385714,200,2.281475
-68.3,156,2.311608
-55.508655,159,2.34113
-58.914988,156,2.372997
-57.123812,165,2.423185
-67.07937,160,2.453872
-67.55,158,2.484553
-63.65,152,2.51481
-63.449795,165,2.546327
-59.429069,153,2.575673
-62.25,154,2.605468
-61.95,160,2.637177
-60.6,153,2.66715
-59.7,164,2.698865
-64.15,160,2.729538
-59.703635,159,2.760919
-65.65,156,2.792375
-60.6,155,2.821128
-57.924105,166,2.852784
-66.85,162,2.885802
-65.35,159,2.917373
-73.05,160,2.94806
-70.0,156,2.978542
-69.35,155,3.010415
-60.7755,156,3.039977
-73.75,154,3.069962
-74.6,156,3.099635
-65.45,165,3.133389
-69.15,154,3.162423
-68.6,159,3.19303
-71.85,157,3.223057
-70.0,159,3.255621
-63.5,157,3.285271
-66.0,152,3.315608
-73.074945,161,3.345494
-65.95,165,3.378602
-70.15,159,3.408821
-67.202869,150,3.438015
-77.9,157,3.468175
-76.2,160,3.497566
-71.15,151,3.529903
-65.0,161,3.56007
-63.45,158,3.590342
-73.75,155,3.618949
-67.5,153,3.65157
-62.35,152,3.679589
-64.35,153,3.707659
-57.237873,159,3.739086
-59.9,156,3.770505
-59.15,155,3.800628
-59.1,158,3.82961
-65.7,163,3.861926
-50.185714,159,3.893718
-44.580235,168,3.925964
-48.705706,166,3.957722
-71.35,160,3.988209
-51.114183,163,4.020641
-59.559476,161,4.052554
-50.285714,149,4.080597
-58.25,163,4.112149
-61.1,165,4.145082
-60.55,160,4.177376
-50.286326,162,4.207651
-54.75,154,4.237207
-61.4,157,4.269657
-41.482518,165,4.301518
-58.25,154,4.329662
-57.25,159,4.360754
-59.8,160,4.39316
-50.85,158,4.423609
-64.75,165,4.453928
-58.65,160,4.485913
-48.385714,160,4.517965
-60.9,154,4.547933
-53.960895,169,4.580135
-58.8,162,4.611444
-58.1,150,4.641855
-61.2,158,4.672754
-56.2,149,4.701846
-59.65,152,4.730323
-59.9,156,4.762585
-55.05,154,4.792567
-61.05,165,4.824438
-67.15,159,4.853791
-52.254567,161,4.887055
-56.75,160,4.918138
-59.2,155,4.94796
-56.65,159,4.9771
-60.05,160,5.01065
-61.55,157,5.040121
-62.05,156,5.070164
