#{"t_start": 1764357013.859647, "env_id": "None"}
r,l,t
-71.451661,152,0.525292
-74.95,152,0.551412
-72.985714,161,0.578919
-73.352133,160,0.622406
-77.8,162,0.653156
-69.8,162,0.680053
-80.35,155,0.790174
-80.59552,161,0.818907
-76.693628,164,0.846527
-72.95,148,0.871361
-77.278319,159,0.897913
-76.25,156,0.924797
-59.421429,158,1.018342
-71.18922,163,1.047385
-79.45,161,1.074735
-70.95741,165,1.102803
-78.85,157,1.130264
-73.43633,161,1.157733
-69.85,161,1.184835
-59.885714,149,1.27775
-60.085714,155,1.30394
-70.594358,156,1.330312
-70.338602,162,1.359101
-72.55,155,1.385784
-70.55,162,1.413603
-71.4,162,1.50904
-68.835714,200,1.542799
-71.75,157,1.570502
-72.05,159,1.598576
-69.635714,200,1.633108
-69.035714,200,1.668063
-71.5,153,1.761951
-70.385714,162,1.790624
-65.129788,158,1.817484
-69.72051,160,1.844531
-75.35,162,1.872886
-80.85,156,1.899773
-68.121824,163,1.99515
-70.459782,165,2.023449
-61.347115,163,2.051182
-62.988742,154,2.077303
-68.835714,167,2.106561
-63.315837,158,2.133227
-72.45,157,2.159548
-64.947633,165,2.256259
-68.670757,155,2.282686
-68.45,157,2.310165
-77.4,159,2.336819
-61.485714,159,2.363497
-74.3,161,2.390423
-70.15,149,2.483542
-59.507315,162,2.512029
-72.95,162,2.539352
-65.979972,157,2.565674
-69.75,158,2.592187
-75.8,156,2.619533
-63.83045,158,2.645966
-68.7,158,2.740064
-78.7,162,2.767354
-58.421429,181,2.797772
-61.785714,176,2.828116
-70.25,149,2.854383
-60.785714,159,2.883656
-61.849089,162,3.025005
-68.985714,200,3.072407
-77.05,157,3.100011
-59.935714,154,3.12718
-69.410454,158,3.15616
-68.586314,166,3.185538
-77.1,157,3.28286
-68.535714,164,3.310544
-74.5,158,3.337162
-69.05,149,3.363719
-54.085714,168,3.392688
-70.9,163,3.420641
-71.6,159,3.448834
-51.45501,161,3.543482
-61.535714,178,3.575124
-59.823304,157,3.601791
-54.271429,160,3.629038
-66.4,159,3.656065
-69.9,157,3.683789
-61.008116,161,3.778969
-67.15,152,3.80483
-68.018995,164,3.83271
-59.985714,200,3.866493
-60.185714,158,3.894419
-65.624478,163,3.922518
-59.795284,147,4.015798
-68.2,156,4.042687
-74.1,161,4.070289
-67.98431,159,4.098482
-67.039418,160,4.12567
-59.204988,165,4.153599
-50.648271,163,4.181179
-77.95,166,4.277221
-57.435714,163,4.306168
-74.3,165,4.334356
-64.95,152,4.360111
-60.135714,158,4.386936
-68.74394,159,4.414776
-62.364349,159,4.509325
-65.65,154,4.53566
-61.757475,161,4.562758
-54.043633,158,4.589456
-64.294404,161,4.617591
-62.719623,161,4.645173
-67.274752,167,4.741072
-59.288317,159,4.768059
-48.435714,163,4.795546
-50.507155,158,4.822891
-70.55,160,4.850674
-62.926211,164,4.878812
-69.4,154,4.905187
-68.9,157,4.998997
-57.585714,162,5.026606
-70.173673,158,5.05436
-63.8,156,5.080943
-49.318925,162,5.108423
-66.45,159,5.135376
-59.946823,165,5.230688
-60.419447,167,5.260552
-68.15,154,5.286984
-52.42179,165,5.314958
-70.1,160,5.342145
-60.985712,158,5.369846
-60.0,155,5.396106
-68.0,163,5.494572
-63.334082,164,5.522687
-72.6,167,5.55116
-58.242382,168,5.58087
-57.098774,155,5.607292
-59.5,150,5.632535
-67.8,151,5.726221
-59.285714,159,5.753016
-58.335714,159,5.781117
-59.635714,163,5.809238
-55.135714,152,5.83526
-57.363366,161,5.862699
-71.5,159,5.957243
-59.019633,155,5.983817
-51.664299,164,6.013079
-65.35,156,6.039944
-70.05,161,6.067901
-61.6,152,6.096154
-54.720332,167,6.133935
-63.9528,168,6.235942
-58.986504,161,6.264236
-61.565759,163,6.292265
-69.0,159,6.320551
-49.885714,162,6.34846
-65.65,163,6.376474
-52.350758,158,6.471753
-55.965637,164,6.500047
-66.45,160,6.528714
-67.0,160,6.556398
-62.35,160,6.583477
-65.45,165,6.61302
-70.15,157,6.640874
-58.362555,185,6.764817
-65.85,156,6.791864
-58.935265,167,6.821906
-57.5963,159,6.850116
-69.75,159,6.88212
-57.435714,168,6.911182
-57.15,152,7.006758
-53.928869,168,7.036075
-47.235714,173,7.066171
-56.455861,160,7.093758
-51.602885,200,7.12833
-48.416044,155,7.155352
-46.485714,163,7.250786
-54.585714,156,7.277783
-47.953989,159,7.305294
-62.55,157,7.332327
-68.2,158,7.360264
-63.6,162,7.387823
-58.685714,163,7.483188
-64.85,163,7.511252
-51.676565,162,7.539299
-66.15,160,7.567498
-49.171429,157,7.594338
-60.428511,162,7.622023
-53.021429,158,7.649519
-49.835714,159,7.744538
-52.435714,158,7.772609
-53.885714,159,7.800428
-51.640409,162,7.830846
-60.244837,149,7.860891
-64.674667,157,7.889204
-58.15,155,7.987192
-58.785714,178,8.01794
-54.335714,154,8.044346
-59.071942,156,8.070845
-51.085714,162,8.099668
-49.835714,151,8.125829
-62.628095,161,8.153651
-53.285714,160,8.248945
-60.65,159,8.276256
-44.385714,163,8.305112
-47.235714,167,8.334155
-46.735714,162,8.362076
-54.085714,154,8.388433
-65.75,156,8.482303
-57.435714,153,8.508351
-52.271429,164,8.537552
-47.285714,156,8.564237
-75.85,163,8.592115
-51.852986,164,8.620919
-60.45,153,8.714813
-51.335714,162,8.746976
-46.085714,157,8.782317
-62.1,158,8.816661
-45.635714,168,8.846962
-53.335714,158,8.874415
-49.985714,159,8.902082
-63.85,155,8.998284
-53.169894,158,9.02506
-49.185343,168,9.054951
-60.0,160,9.082353
-48.088172,163,9.110282
-48.528168,155,9.136743
-45.435714,156,9.230906
-55.335714,158,9.258559
-69.65,155,9.285527
-58.400032,163,9.313507
-67.55,155,9.340244
-48.612413,153,9.367461
-52.451865,152,9.393654
-42.885714,163,9.489863
-44.521429,168,9.518723
-47.307849,162,9.546316
-46.799754,160,9.574427
-57.885714,161,9.602155
-51.050416,167,9.630738
-48.585714,162,9.725743
-52.385714,155,9.7524
-48.985714,162,9.78003
-59.9,149,9.806603
-48.935714,163,9.834634
-55.534611,158,9.861711
-52.485714,153,9.888597
-51.285714,168,9.983784
-48.821429,163,10.012612
-43.905992,148,10.03823
-45.285714,159,10.065566
-65.25,151,10.091521
-48.216651,162,10.120168
-41.321429,161,10.21503
