#{"t_start": 1764231618.45541, "env_id": "None"}
r,l,t
-75.880525,156,0.376245
-72.735714,200,0.402568
-67.985714,166,0.424043
-77.2,161,0.444797
-62.847035,159,0.512912
-72.616626,157,0.533285
-74.45,159,0.553763
-80.45,158,0.574145
-74.078306,160,0.595223
-70.700206,160,0.615904
-76.7,157,0.761594
-70.28058,156,0.793056
-71.121148,150,0.813295
-65.435714,181,0.836894
-71.435714,161,0.85794
-78.074224,167,0.880543
-69.890228,157,0.901198
-76.4,150,0.920798
-73.4,150,0.940626
-74.466078,157,0.96178
-77.4,155,1.101006
-74.728925,165,1.123229
-62.951394,164,1.145444
-73.835714,160,1.167215
-68.635714,200,1.193818
-79.95,157,1.214771
-66.337354,162,1.237159
-68.235714,167,1.261701
-74.653155,152,1.283227
-83.3,160,1.307081
-68.335714,162,1.464864
-73.45,154,1.485351
-72.696302,170,1.507895
-70.54714,159,1.529539
-68.985714,161,1.551195
-82.75,157,1.571947
-83.9,156,1.593464
-67.659784,158,1.614916
-80.7,155,1.635197
-73.839806,162,1.656145
-65.818685,155,1.79767
-72.233833,163,1.819543
-67.535714,200,1.845844
-74.384753,194,1.871494
-66.693841,157,1.892198
-79.35,151,1.912148
-80.9,158,1.932332
-66.974433,164,1.953415
-77.45,159,1.974487
-63.485714,153,1.994077
-75.15,161,2.145111
-62.935714,164,2.1675
-69.22175,161,2.189534
-67.409767,167,2.258392
-74.8,162,2.279868
-60.735714,156,2.3007
-74.05,151,2.321663
-53.387603,158,2.342812
-71.65,161,2.363817
-73.779786,166,2.385074
-66.285714,160,2.533085
-64.121429,175,2.555899
-64.285714,153,2.575988
-74.926733,164,2.597689
-56.097502,159,2.619061
-62.535714,152,2.639008
-76.535714,163,2.6604
-77.3,159,2.682075
-68.885714,171,2.704476
-70.05,149,2.723812
-85.9,159,2.872497
-69.035714,154,2.892194
-66.789678,160,2.912285
-76.440072,166,2.933988
-75.45,163,2.95549
-76.4,154,2.976188
-67.235714,165,2.997807
-77.75,163,3.019218
-64.535714,153,3.039489
-71.828209,166,3.061494
