#{"t_start": 1764356368.03107, "env_id": "None"}
r,l,t
-72.15,152,0.500733
-76.0,152,0.531009
-72.285714,163,0.564796
-85.75,157,0.595239
-92.4,161,0.629622
-87.5,154,0.659196
-83.288926,169,0.693859
-83.4,153,0.723238
-74.448538,158,0.75698
-83.169877,160,0.788625
-81.720965,157,0.820076
-75.96657,161,0.850893
-80.106918,164,0.886293
-81.0,157,0.91654
-82.3,150,0.945694
-77.537245,163,0.97804
-70.845511,163,1.012803
-69.235714,160,1.043534
-59.273444,159,1.075045
-77.85,158,1.106284
-71.937337,150,1.136717
-52.285714,161,1.168876
-73.25,160,1.200305
-70.754607,151,1.230577
-75.175924,159,1.262942
-77.45,157,1.294284
-63.285714,171,1.327838
-75.55,159,1.359393
-77.0,153,1.412034
-71.379951,161,1.444745
-68.528313,164,1.476575
-76.1,151,1.506838
-73.25,160,1.540579
-70.285714,199,1.579518
-70.235714,200,1.618576
-77.05,153,1.651673
-72.8,153,1.681647
-74.076739,164,1.714377
-74.85,166,1.747083
-74.55,164,1.781504
-75.6,156,1.811554
-73.65,159,1.844358
-64.285714,200,1.883182
-69.701909,164,1.91712
-66.861648,169,1.950545
-63.824593,156,1.981878
-69.35,154,2.011495
-75.9,152,2.042536
-66.185714,174,2.077854
-68.235714,200,2.116915
-72.65,160,2.149357
-63.55,150,2.180464
-71.9,161,2.212525
-62.15,156,2.242341
-67.35,163,2.275596
-59.021429,177,2.311186
-65.6,161,2.343219
-65.623015,164,2.375657
-57.021429,200,2.417283
-61.031235,168,2.449542
-66.262948,156,2.481613
-71.234892,154,2.514238
-60.285714,160,2.553351
-51.571429,158,2.587961
-53.071058,160,2.619859
-73.65,151,2.653537
-54.885714,166,2.692891
-56.96092,162,2.732509
-57.343777,160,2.764093
-58.852708,154,2.796772
-65.45,160,2.828309
-60.343642,157,2.862851
-53.407347,156,2.894065
-67.75,163,2.927215
-57.10985,160,2.958162
-56.034356,174,2.996312
-71.7,166,3.029978
-61.2,159,3.060637
-60.291138,163,3.094908
-55.499705,146,3.151761
-66.5,158,3.187762
-63.95,160,3.224572
-58.65,161,3.258642
-67.6,159,3.294972
-50.471941,161,3.333333
-70.5,152,3.36804
-67.45,160,3.405637
-65.002802,162,3.442747
-51.615621,157,3.474419
-58.842493,151,3.505661
-55.421429,174,3.540478
-52.885714,159,3.575539
-49.885714,153,3.605667
-61.235714,187,3.644173
-62.156091,165,3.679415
-50.085714,163,3.711779
-71.7,158,3.745183
-56.285714,159,3.776345
-59.517198,156,3.811021
-67.3,149,3.841135
-47.615982,167,3.876263
-65.8,160,3.908576
-66.8,157,3.943129
-55.528408,162,3.976558
-52.765008,163,4.009609
-54.489301,164,4.041424
-56.835714,160,4.076838
-54.435714,154,4.107674
-50.135714,160,4.14032
-61.167751,157,4.172135
-62.585714,200,4.213982
-65.876233,166,4.247957
-71.55,165,4.281389
-45.507143,161,4.313982
-49.258051,164,4.348034
-69.9,160,4.381793
-65.185714,156,4.412137
-69.05,156,4.44347
-65.3,160,4.47731
-68.15,158,4.509765
-71.7,154,4.539618
-65.25,152,4.570292
-59.2,153,4.603428
-64.85,159,4.634946
-64.5,157,4.666866
-60.155113,166,4.700232
-57.823091,148,4.732554
-67.7,158,4.763964
-51.953057,163,4.797679
-68.05,163,4.829606
-55.95,154,4.862647
-51.314172,158,4.89478
-48.585714,153,4.926539
-71.1,158,4.957378
-62.1,162,4.992013
-58.885421,161,5.024979
-61.35,155,5.056478
-72.3,150,5.085734
-56.7,155,5.117088
-60.522992,155,5.151459
-62.05,156,5.181943
-63.644985,154,5.214012
-52.123323,160,5.245579
-54.960901,167,5.28149
-56.661346,161,5.313747
-61.335714,200,5.353693
-59.121429,188,5.392994
-78.3,160,5.4267
-53.644621,165,5.458829
-70.55,161,5.491179
-59.635714,156,5.52419
-60.031639,160,5.557445
-50.871429,153,5.587784
-52.835714,155,5.619209
