#{"t_start": 1764083579.3091688, "env_id": "None"}
r,l,t
-67.785714,156,0.523089
-78.1,157,0.564233
-73.15,149,0.602854
-68.785714,162,0.644193
-70.149267,161,0.685776
-76.101338,165,0.728352
-72.853364,158,0.768787
-75.25,153,0.808011
-79.3,158,0.848542
-73.059041,159,0.889001
-79.069547,165,0.934174
-78.5,157,0.973937
-73.0,156,1.013776
-74.4,153,1.053905
-84.8,161,1.094849
-72.21656,166,1.136502
-73.581917,160,1.177862
-73.75,158,1.218211
-71.216391,159,1.259734
-71.884437,158,1.299204
-72.534101,162,1.342252
-76.75,154,1.382729
-69.920757,169,1.425359
-72.241064,160,1.467144
-69.985714,165,1.509889
-70.615472,165,1.551955
-76.15,150,1.592387
-73.304647,165,1.635255
-86.7,160,1.676745
-69.785714,200,1.727976
-75.55,156,1.769389
-83.485714,197,1.820686
-69.00818,162,1.861591
-70.235714,180,1.908691
-70.75,158,1.949477
-72.290584,166,1.991364
-77.5,152,2.030693
-70.735714,179,2.076763
-76.6,156,2.117461
-71.4,150,2.156017
-69.455398,154,2.196534
-80.4,164,2.239343
-79.6,154,2.278912
-65.681673,164,2.321978
-69.433145,165,2.36392
-72.486408,155,2.403634
-70.4,157,2.444624
-58.685714,159,2.485215
-78.05,152,2.523718
-66.29361,160,2.566105
-69.471429,200,2.619193
-68.541525,153,2.660109
-64.085714,163,2.702998
-71.580391,158,2.744131
-76.25,152,2.783502
-74.750138,160,2.824922
-67.496758,155,2.866057
-69.185714,160,2.907559
-71.685714,181,2.953588
-83.1,159,2.995397
-72.37454,165,3.039178
-73.027023,160,3.081518
-72.55,154,3.121387
-76.025071,166,3.1637
-70.05,158,3.2057
-66.121429,200,3.257178
-59.185714,157,3.298452
-71.8,161,3.339724
-52.935714,157,3.380426
-68.835714,200,3.433045
-63.171429,168,3.478077
-64.396557,155,3.519429
-64.3,158,3.560491
-56.585714,160,3.602379
-64.535714,160,3.64493
-66.114993,160,3.686455
-69.485714,153,3.725786
-59.971429,179,3.773262
-71.994062,157,3.813616
-58.907568,161,3.856296
-65.937377,165,3.900939
-54.735714,161,3.943124
-66.438891,172,3.990532
-55.235714,161,4.032311
-68.856289,164,4.075824
-67.323801,158,4.116385
-61.885714,163,4.15874
-61.623502,148,4.197839
-68.300246,160,4.239229
-71.15,158,4.281501
-72.394471,162,4.324683
-69.708698,157,4.365318
-60.871429,183,4.414464
-58.656465,165,4.457326
-64.095237,163,4.500763
-66.163275,158,4.542096
-69.2,161,4.584437
-66.3,163,4.627952
-63.470515,158,4.66877
-70.341756,164,4.71169
-66.996206,160,4.755058
-63.735714,160,4.796901
-58.171429,167,4.841255
-57.453545,159,4.883004
-63.335714,152,4.923028
-73.385714,165,4.966627
-66.75245,166,5.009475
-67.285714,166,5.053938
-67.985714,160,5.095736
-76.15,161,5.137712
-63.252697,157,5.181118
-67.712222,157,5.222687
-66.035714,165,5.266005
-59.385714,164,5.308722
-60.126388,166,5.351201
-67.413711,157,5.393493
-67.472434,154,5.433501
-70.435714,165,5.476478
-61.657352,166,5.521311
-65.935714,171,5.568152
-69.085714,187,5.622833
-64.085714,161,5.669263
-58.471429,162,5.71796
-64.830504,168,5.7636
-59.377178,165,5.807599
-69.335714,200,5.86019
-61.255575,162,5.903073
-57.585714,169,5.94856
-64.385714,168,5.992953
-71.285705,166,6.052478
-67.985714,159,6.138257
-71.589501,164,6.206413
-60.735714,153,6.2657
-71.985714,174,6.327421
-59.685714,149,6.371227
-54.205703,155,6.423028
-60.535714,165,6.470257
-63.283335,155,6.537276
-60.671429,166,6.593284
-71.19105,165,6.666242
-66.566825,161,6.730347
-58.621429,165,6.782377
-68.971429,184,6.845173
-56.985714,164,6.892358
-62.585714,168,6.946105
-63.485714,164,6.990177
-66.885714,163,7.042431
-61.175429,161,7.09213
-61.334821,162,7.137883
-68.235714,200,7.192028
-66.635044,159,7.250067
-58.535714,162,7.294057
