#{"t_start": 1764358322.19452, "env_id": "None"}
r,l,t
-79.0,152,0.380638
-75.220511,156,0.407767
-68.535714,152,0.433877
-67.120825,154,0.461952
-80.3,167,0.491172
-70.363258,159,0.518248
-78.4,156,0.623611
-82.3,157,0.650287
-72.25,160,0.678703
-68.735714,162,0.706559
-80.7,153,0.732652
-71.289589,163,0.760216
-65.671429,163,0.856662
-71.781668,161,0.885986
-70.940967,155,0.912764
-79.1,159,0.940301
-69.9,156,0.968314
-72.559438,156,0.997126
-70.06266,160,1.025672
-72.014467,160,1.123825
-68.1,162,1.151433
-74.95,161,1.179227
-58.335714,164,1.208452
-62.035714,163,1.236037
-69.435714,162,1.263448
-75.45,157,1.359126
-74.3,155,1.388093
-75.45,155,1.41556
-76.95,158,1.443715
-72.6,151,1.469974
-68.4,166,1.498195
-60.021794,162,1.526945
-75.1,160,1.623711
-58.275695,168,1.652681
-66.95,153,1.678741
-75.15,151,1.704231
-71.5,152,1.730965
-62.40637,160,1.758082
-79.5,158,1.853596
-75.376866,168,1.882834
-60.009968,156,1.90941
-63.485714,150,1.935903
-71.85,163,1.963482
-66.350913,160,1.990683
-74.2,153,2.016561
-71.8,158,2.11263
-68.809528,156,2.140118
-64.585714,200,2.174752
-64.835714,168,2.203633
-76.65,152,2.22996
-57.171429,165,2.260224
-52.335714,155,2.357043
-75.05,157,2.38496
-61.171429,165,2.41368
-72.8,153,2.440118
-71.366355,167,2.470286
-59.038483,150,2.495752
-54.761383,159,2.591808
-63.085714,162,2.61932
-68.839488,153,2.645669
-73.45,160,2.674633
-69.45,152,2.700762
-71.8,156,2.727932
-55.535714,149,2.753632
-72.0,160,2.854802
-73.7,160,2.886945
-66.831397,156,2.917933
-67.65,156,2.945459
-73.138688,154,2.972505
-65.1,160,3.002356
-70.7,148,3.028477
-55.346073,166,3.128511
-70.5387,164,3.156414
-65.809244,151,3.181881
-63.528973,170,3.212068
-68.792353,160,3.239101
-70.75,160,3.266526
-64.8655,158,3.364025
-61.085714,166,3.39306
-60.524279,155,3.42094
-60.468685,166,3.449656
-55.764823,163,3.478788
-65.733785,162,3.507144
-60.325745,156,3.603729
-69.35,162,3.632472
-73.15,151,3.658778
-72.75,155,3.685767
-59.552896,163,3.713846
-61.538358,161,3.742517
-69.1,151,3.768388
-62.435714,179,3.86758
-68.8,159,3.894546
-76.45,156,3.921764
-66.95,156,3.949445
-53.135714,192,3.982609
-68.5,158,4.009406
-61.628456,158,4.105185
-67.7,157,4.132045
-56.585714,158,4.160258
-70.85,161,4.187709
-60.549071,158,4.21478
-53.685714,154,4.240958
-64.75,159,4.336138
-63.7,158,4.36393
-72.8,158,4.391524
-67.25,153,4.417683
-62.367785,154,4.443799
-68.0,161,4.472247
-70.15,156,4.499238
-62.2,160,4.595275
-52.364518,157,4.622334
-60.443488,162,4.649935
-48.884456,158,4.677981
-56.485714,164,4.706705
-57.135714,163,4.735207
-65.0,154,4.830495
-58.0,155,4.85734
-68.1,160,4.886106
-65.911661,161,4.913862
-69.05,153,4.940215
-48.885714,169,4.969165
-50.821771,161,4.998199
-65.8,156,5.094363
-71.15,160,5.12193
-55.585714,156,5.148749
-48.221429,164,5.1766
-66.95,159,5.205041
-77.2,157,5.232106
-69.9,160,5.331625
-48.691482,154,5.358678
-57.83033,160,5.386308
-54.885714,163,5.415487
-55.785714,158,5.442997
-54.935714,169,5.471983
-57.641355,160,5.499235
-68.600081,155,5.59487
-58.600262,163,5.624659
-51.585714,159,5.652306
-55.097412,151,5.67829
-62.612434,161,5.707195
-62.8,151,5.734934
-53.554714,155,5.832481
-58.65,158,5.860315
-58.688865,155,5.887337
-58.39608,166,5.915504
-71.35,159,5.943562
-54.185714,158,5.970757
-61.75,157,5.997963
-53.021429,200,6.103123
-48.135714,161,6.131351
-53.905127,163,6.162224
-55.093178,168,6.191615
-64.0,151,6.21808
-51.285714,163,6.246632
-53.335714,153,6.341864
-60.054715,161,6.371005
-57.872958,166,6.399796
-47.157996,163,6.428158
-57.935714,158,6.455796
-61.4,159,6.484173
-48.659294,162,6.581883
-47.465086,156,6.626691
-56.285714,190,6.658557
-50.054707,167,6.688778
-56.25,160,6.716495
-50.493491,159,6.743443
-57.700543,153,6.838521
-50.235714,164,6.866999
-43.635714,167,6.89679
-57.321429,192,6.930071
-63.55,164,6.957822
-41.258948,161,6.984942
-56.9,154,7.079841
-53.035233,164,7.108965
-57.45,150,7.134309
-45.535714,161,7.161602
-62.5,153,7.187582
-50.035714,164,7.216622
-48.971429,200,7.250548
-45.785714,163,7.347108
-47.335714,154,7.3736
-50.285714,159,7.400932
