episode,reward,entropy
1,-141.0691595345966,1.9439599514007568
2,-202.30000000000007,1.9437072277069092
3,-117.67585996728754,1.9442086219787598
4,-202.8909124729788,1.9437861442565918
5,-219.55939738565849,1.9433681964874268
6,-50.82724657844751,1.9437576532363892
7,-79.45710946203923,1.9438132047653198
8,-192.75000000000003,1.9438704252243042
9,-176.32881985921802,1.943798542022705
10,-201.78898075631076,1.944026231765747
11,-23.66962065538347,1.9430850744247437
12,-84.40645733934281,1.9430172443389893
13,-30.127526815600568,1.9434101581573486
14,-84.04633557074197,1.9434181451797485
15,-82.03130972902187,1.942860722541809
16,-164.0,1.9434213638305664
17,-32.82892968514477,1.943203330039978
18,-152.51207641707728,1.9430805444717407
19,-64.78816486139281,1.9432921409606934
20,-109.24999999999997,1.9431167840957642
21,-96.5,1.9431096315383911
22,-86.89999999999999,1.9428454637527466
23,-209.49264441426936,1.9429935216903687
24,-266.15000000000003,1.9430221319198608
25,-33.08548535713981,1.9427883625030518
26,-113.34999999999997,1.9430067539215088
27,-140.14225844037156,1.9426262378692627
28,-180.016913953839,1.9433870315551758
29,-143.42761008525946,1.943084716796875
30,-185.9990276766032,1.9426374435424805
31,-149.83888279796037,1.9430079460144043
32,-214.29856405713042,1.9428892135620117
33,-59.68391605302257,1.9430303573608398
34,-185.9790576335266,1.942887306213379
35,-143.0,1.9426056146621704
36,-97.723506426576,1.9423949718475342
37,-77.90271357450537,1.943081259727478
38,-86.39221212105737,1.9432220458984375
39,-177.134040769648,1.942847490310669
40,-114.84617670842502,1.9429774284362793
41,-135.75060184814794,1.9428143501281738
42,-35.837309967062495,1.9424238204956055
43,-73.42343021560588,1.9427285194396973
44,-150.7779245853258,1.9433575868606567
45,-112.59999999999997,1.9427850246429443
46,-174.6806528831097,1.9426885843276978
47,-80.14264362547708,1.9427813291549683
48,-142.34552214386625,1.9428259134292603
49,-162.95423254182992,1.9426037073135376
50,-32.13727225141094,1.9419910907745361
51,-73.99835818957372,1.9427168369293213
52,-201.8766677009758,1.9428260326385498
53,-268.14513756849914,1.942702293395996
54,-154.9477959139964,1.9420068264007568
55,-78.46537709352677,1.9422574043273926
56,-188.03334523028647,1.942411184310913
57,-125.01431863603585,1.9419769048690796
58,-190.6946305630134,1.9428491592407227
59,-143.31910311745503,1.9432244300842285
60,-119.65933313045873,1.942311406135559
61,-164.97361582611572,1.9421546459197998
62,-113.08986825296569,1.9414093494415283
63,-196.69202770394256,1.942652940750122
64,-93.4216017688568,1.9414432048797607
65,-171.01698845086196,1.9417654275894165
66,-92.30229074569675,1.9420373439788818
67,-246.35078706543962,1.9428726434707642
68,-57.55752143928071,1.941125512123108
69,-143.37733563257999,1.9424606561660767
70,-29.655484529297887,1.941392183303833
71,-180.42712618614252,1.9410077333450317
72,-200.78892757136435,1.9407870769500732
73,-91.0029004173212,1.9418011903762817
74,-159.65000000000003,1.9416122436523438
75,-77.89310249265223,1.9411767721176147
76,-148.56704044451084,1.9407802820205688
77,-80.86504356980197,1.9416759014129639
78,-142.99999999999997,1.941644310951233
79,-47.847894527430036,1.9408061504364014
80,-92.38182667525626,1.941112995147705
81,-159.6726623703351,1.9394673109054565
82,-129.8963596921209,1.9406832456588745
83,-47.622619035696516,1.9411730766296387
84,-170.78092029614334,1.941129207611084
85,-72.19192384064313,1.939469337463379
86,-103.16620493570322,1.9403049945831299
87,-103.5541246493539,1.9401992559432983
88,-90.96033601145986,1.940314769744873
89,-81.30657150973013,1.939205288887024
90,-27.402189767119037,1.940043330192566
91,-180.77629831697624,1.9395806789398193
92,-189.55971241041954,1.9408364295959473
93,-234.77237605291242,1.9394803047180176
94,-150.66849377371528,1.9393266439437866
95,-174.8470981903054,1.9407870769500732
96,-102.88224752257567,1.939984917640686
97,-211.95000000000005,1.9388903379440308
98,-132.6204246703726,1.9389305114746094
99,-125.62392355634128,1.939581036567688
100,-191.20509428011783,1.9381499290466309
101,-137.32906431478247,1.9391740560531616
102,-133.54999999999998,1.939439296722412
103,-19.52609309977496,1.939104437828064
104,-241.45000000000005,1.9388467073440552
105,-167.16876482175735,1.93855619430542
106,-124.04999999999995,1.9392035007476807
107,-210.04963818449187,1.939237356185913
108,-139.4698177281484,1.9389797449111938
109,-73.51275503740716,1.9396816492080688
110,-212.97402739518182,1.937402367591858
111,-19.020691499034857,1.9381723403930664
112,-195.21374835079612,1.9394067525863647
113,-147.5529784256738,1.9373096227645874
114,-44.14645187042639,1.9369113445281982
115,-14.337023412900676,1.9381937980651855
116,-227.2158050939428,1.9370050430297852
117,-52.399571050769694,1.9382262229919434
118,-209.65000000000003,1.936090111732483
