episode,reward,entropy
1,-152.7786460461833,1.942624807357788
2,-31.20868651118585,1.9429636001586914
3,-177.64999999999998,1.9424769878387451
4,-189.55000000000004,1.9427101612091064
5,-100.79948808810997,1.9428666830062866
6,-201.61749338807707,1.9424324035644531
7,-138.97725860004564,1.9428002834320068
8,-60.55000000000002,1.9423903226852417
9,-109.05964388241831,1.942337155342102
10,-139.50340084638253,1.9427474737167358
11,-51.18494705259473,1.9428826570510864
12,-209.09657862779844,1.9428086280822754
13,-87.9889739663695,1.9430301189422607
14,-95.77657830805427,1.9430913925170898
15,-68.3569899255591,1.9424786567687988
16,-106.03339235105875,1.9429954290390015
17,-122.15846781487228,1.9433103799819946
18,-82.6911059870659,1.9433364868164062
19,-170.32526626500004,1.9424829483032227
20,-202.9999265919613,1.9429786205291748
21,-118.96089741541742,1.9428651332855225
22,-59.477553525314946,1.943009376525879
23,-51.54941436117423,1.942665457725525
24,-173.95,1.9429017305374146
25,-203.7338357764497,1.9428387880325317
26,-107.68319701843113,1.9425101280212402
27,-107.22739308641815,1.942662239074707
28,-186.55,1.9429930448532104
29,-83.00000000000001,1.9426289796829224
30,-223.67910621754837,1.9425204992294312
31,-119.48347739966046,1.94277024269104
32,-94.5202513133172,1.94269597530365
33,-140.978434843987,1.9426525831222534
34,-137.74911375144546,1.9425835609436035
35,-65.21037935856577,1.9425292015075684
36,-123.49024161585636,1.9425655603408813
37,-194.2031407075479,1.9427844285964966
38,-70.69190284458719,1.9427801370620728
39,-26.369710859554665,1.9430869817733765
40,-181.75445116459855,1.9425581693649292
41,-98.27896526563359,1.9427746534347534
42,-152.67216904219634,1.942132830619812
43,-89.31194654611879,1.9427255392074585
44,-78.19624680064275,1.9428602457046509
45,-165.14999999999998,1.9427292346954346
46,-143.59149812373656,1.9423848390579224
47,-271.4640844656402,1.9423959255218506
48,-175.0628232209303,1.942490816116333
49,-235.32431538940253,1.9426493644714355
50,-111.84999999999998,1.942370891571045
51,-227.45000000000007,1.9421981573104858
52,-72.67033953867241,1.9424760341644287
53,-181.95000000000002,1.942073106765747
54,-55.650000000000006,1.9420204162597656
55,-167.57265754105822,1.942427635192871
56,-80.00010277430115,1.9417212009429932
