#{"t_start": 1764356812.122848, "env_id": "None"}
r,l,t
-81.6,152,0.504385
-70.403178,156,0.532015
-69.685714,152,0.558701
-76.837459,157,0.58793
-75.061509,158,0.616271
-76.25,162,0.645034
-67.621429,200,0.680583
-85.45,156,0.709304
-70.335714,163,0.738489
-71.298618,156,0.766156
-68.371429,175,0.798428
-72.9,156,0.826066
-81.45,159,1.156015
-60.921429,154,1.184047
-67.021429,176,1.216709
-72.383092,165,1.246146
-73.4,152,1.273017
-77.6,153,1.299922
-64.503115,154,1.328063
-71.896845,163,1.357383
-70.25,155,1.385183
-74.749038,163,1.414353
-67.635714,167,1.445333
-77.1,149,1.472003
-71.3,153,1.499405
-72.2,157,1.816456
-80.55,154,1.843731
-70.385714,164,1.87403
-74.7,154,1.901156
-58.213638,163,1.929898
-55.271429,163,1.959509
-67.25,153,1.986964
-75.25,155,2.014633
-72.6,152,2.04156
-57.821429,155,2.069773
-76.65,154,2.096797
-76.8,153,2.123649
-67.45,154,2.15065
-71.59661,166,2.468231
-66.735714,159,2.49749
-70.15,157,2.525531
-71.35,151,2.552297
-63.0,156,2.579912
-58.498069,200,2.616261
-70.25,155,2.643631
-64.824922,165,2.672663
-60.417645,158,2.701298
-62.975973,154,2.728476
-68.3,161,2.756817
-63.817706,163,2.785411
-75.35,150,2.812503
-68.813306,163,3.148442
-70.035714,196,3.183725
-77.95,160,3.212896
-63.021198,161,3.243059
-74.085714,200,3.278421
-66.070165,157,3.306101
-71.0,156,3.33457
-70.95,159,3.362534
-67.812284,167,3.391778
-67.35,161,3.419977
-79.05,157,3.448533
-66.935408,159,3.476838
-74.1,158,3.793643
-61.282981,153,3.820901
-69.2,154,3.848124
-67.7,152,3.876235
-65.635714,163,3.905021
-76.3,160,3.933131
-78.2,159,3.961078
-73.15,159,3.99062
-72.15,155,4.018263
-68.3,161,4.046873
-71.7,158,4.075809
-53.735714,160,4.104096
-77.05,160,4.13217
-69.4,153,4.447273
-68.2,154,4.474593
-56.685714,162,4.504488
-59.735714,165,4.533777
-75.15,156,4.561285
-73.15,163,4.589872
-69.3,155,4.618322
-70.15,162,4.647391
-65.385714,166,4.677151
-73.1,155,4.705637
-71.8,154,4.733117
-65.566243,158,4.761336
-67.440202,159,4.789631
-64.4284,162,5.106221
-67.55,154,5.134279
-64.168279,154,5.162133
-67.068415,165,5.191753
-64.413871,161,5.220562
-72.2,162,5.25036
-67.442844,159,5.278511
-68.582753,165,5.30754
-63.55,161,5.335837
-58.821429,171,5.36676
-71.5,159,5.39475
-66.556252,163,5.423302
-57.685714,159,5.452272
-47.371429,155,5.768013
-57.545495,162,5.796932
-61.943128,168,5.826773
-54.535714,150,5.853341
-54.024525,165,5.883411
-67.85,161,5.911937
-64.1,154,5.939189
-64.612348,163,5.968019
-68.6,160,5.998668
-65.4,151,6.027678
-64.7,157,6.055865
-65.348815,162,6.085536
-62.329611,163,6.11485
-65.738881,153,6.431674
-60.271429,190,6.464715
-66.45,155,6.491703
-61.052623,163,6.521613
-55.185714,149,6.548283
-67.35,159,6.576717
-60.65,151,6.603693
-70.75,160,6.632822
-66.1,154,6.659892
-66.0,159,6.687778
-55.485714,159,6.71569
-50.585714,162,6.745147
-53.474141,160,7.064772
-53.950543,162,7.093715
-56.65,151,7.120366
-55.185714,169,7.151469
-60.703517,169,7.181902
-58.741138,152,7.209211
-67.770099,163,7.238938
-57.732246,163,7.269094
-65.4,160,7.297364
-44.935714,154,7.324533
-67.5,160,7.353482
-57.884073,158,7.381889
-53.035714,154,7.409458
-67.95,160,7.725862
-62.8,151,7.752857
-64.15,155,7.781365
-62.15,156,7.80919
-58.518044,158,7.836985
-58.45,159,7.865092
-53.048657,162,7.894522
-61.150531,164,7.933022
-63.25,157,7.98759
-52.885714,163,8.026878
-53.085714,160,8.05643
-63.55,157,8.084765
-60.135714,183,8.118607
-59.212971,157,8.467804
-62.535714,200,8.505479
-55.485714,159,8.535436
-49.035714,162,8.564905
-57.835714,200,8.601026
-58.327692,165,8.632525
-63.2,155,8.660423
-66.0,157,8.688464
-58.516305,171,8.719877
-64.0,157,8.747764
-55.951639,159,8.775725
-65.85,162,8.804243
-46.971429,157,9.123724
-56.235714,182,9.157573
-49.455706,168,9.187293
-58.285714,166,9.220276
-58.907054,167,9.251138
-58.65,160,9.280138
-65.05,155,9.309131
-59.449429,154,9.337477
-61.8,154,9.36585
-70.0,153,9.392661
-56.95,161,9.420887
-64.5,157,9.448554
-53.219498,159,9.477468
-45.085714,159,9.796935
-60.369899,169,9.826969
-54.85,155,9.854375
-46.927383,164,9.884538
-63.85,158,9.912686
-57.4,159,9.940325
-53.677953,157,9.967853
-63.35,160,9.996916
-49.405148,161,10.025035
-58.0,156,10.05241
-55.771429,157,10.080034
-60.15,154,10.108328
-57.316877,164,10.137783
-63.3,151,10.454286
-62.45,151,10.481312
-63.85,156,10.509275
-54.384727,156,10.538182
-62.0,160,10.566599
-61.235714,159,10.594882
-58.25,156,10.623304
-56.525917,160,10.651542
-59.9,159,10.679477
-63.35,160,10.708603
-58.3,156,10.737339
-55.861484,162,10.766329
-60.85,152,10.793385
-53.635714,168,11.112753
-55.145558,155,11.140681
-48.971429,186,11.17527
-67.8,155,11.202748
-66.65,160,11.230921
-51.885714,162,11.260647
-55.335714,149,11.287675
-66.1,156,11.315693
-66.4,159,11.344254
-58.685714,188,11.378826
-54.535714,165,11.408148
-63.6,154,11.435347
-65.75,165,11.465329
-60.9,159,11.789675
-45.126492,162,11.818713
-55.364864,162,11.847534
-46.279752,163,11.876478
-44.509998,164,11.906392
-52.012256,156,11.933772
-45.40154,164,11.962443
-61.7,155,11.990143
-54.735714,166,12.019639
-65.45,160,12.048042
-56.681164,162,12.076959
-63.75,155,12.105295
-59.2,148,12.419742
-43.621269,159,12.44839
-51.971429,180,12.480734
-60.35,161,12.509542
-63.0,152,12.537475
-51.79968,159,12.565626
-60.4,158,12.59353
-47.184398,158,12.621662
-60.15,162,12.651329
-62.15,158,12.67919
-42.685714,159,12.707184
-53.045065,157,12.736011
-67.25,156,12.763577
-55.202702,156,13.087329
-49.871429,186,13.12049
-40.823772,153,13.147753
-50.311515,152,13.17593
-50.435714,152,13.203107
-54.185028,163,13.232697
-49.735714,151,13.260381
-59.05,157,13.288875
-48.001808,164,13.318511
-51.217088,160,13.347244
-51.785714,173,13.379173
-46.371429,159,13.407378
-59.3,158,13.435251
-44.335714,159,13.754759
-45.871429,162,13.783819
-50.06492,161,13.813158
-50.685714,153,13.840086
-46.835714,152,13.866706
-42.358586,156,13.895006
-52.179431,158,13.9233
-47.699526,160,13.951844
-54.771265,161,13.98063
-50.085714,163,14.010783
-48.335714,161,14.039429
-48.980849,160,14.067729
-53.55,153,14.094744
-44.685714,165,14.412725
-60.75,157,14.441689
-51.485714,157,14.469131
-43.071429,157,14.496768
-43.990333,153,14.523558
-55.2,159,14.552972
-48.035714,159,14.58157
-54.655025,161,14.610383
-44.922627,157,14.639288
-53.25,161,14.667848
-51.088889,149,14.694216
-53.1,157,14.721862
-46.235714,164,14.751825
-42.385714,166,15.070943
-47.035714,160,15.099451
-62.9,157,15.127352
-46.93127,160,15.155918
-47.304726,161,15.185262
-45.585714,156,15.212886
-41.791647,165,15.242225
-45.185714,164,15.272472
-52.67391,159,15.301395
-49.339748,157,15.329166
-43.799259,162,15.357941
-43.435714,159,15.387189
-45.185714,165,15.416415
-41.985714,163,15.735091
-48.685714,154,15.76263
-44.435714,163,15.792625
-44.385714,160,15.821467
-38.221429,162,15.850125
-52.587129,156,15.877637
-44.035714,163,15.907378
-53.225503,157,15.935406
-45.685714,157,15.963383
-41.46634,161,15.992201
-42.785714,161,16.021657
-43.221429,162,16.050362
-41.935714,156,16.367049
-38.521429,161,16.396004
-36.921429,161,16.424836
-40.871429,158,16.453821
-44.235714,162,16.482459
-46.371429,156,16.510085
-44.435714,158,16.538994
-36.271429,162,16.568141
-40.885714,157,16.596207
-38.371429,157,16.624288
-42.185714,167,16.654928
-47.021429,163,16.683549
-41.271429,157,16.711071
-37.221429,160,17.065775
-43.435714,167,17.095866
-38.352988,157,17.123666
-41.630188,165,17.152997
-46.371429,159,17.182054
-51.485714,160,17.210436
-40.196918,156,17.237972
-37.871429,162,17.266291
-38.971429,162,17.295959
-40.935714,162,17.32878
-36.471429,163,17.358247
-40.535714,162,17.388985
-43.821429,156,17.417481
-49.852179,159,17.735884
-39.671429,158,17.763626
-47.035714,159,17.791537
-43.571429,164,17.821917
-33.771429,156,17.850165
-35.821429,161,17.879211
-47.535714,167,17.909347
-43.071429,159,17.938915
-41.055968,159,17.969121
-42.385714,155,17.996626
-44.571429,161,18.026183
-40.521429,160,18.054939
-37.071429,157,18.083099
-42.080766,162,18.403565
-41.435714,163,18.432746
-39.835714,159,18.461873
-51.185714,163,18.490532
-39.621429,161,18.518733
-43.671429,156,18.546884
-41.650963,166,18.576679
-44.569964,167,18.606202
-40.021429,154,18.633302
-42.535714,161,18.662449
-42.571429,162,18.690962
-45.826408,164,18.719789
-42.685714,156,19.035804
-39.521429,157,19.064314
-41.871429,164,19.094721
-40.271429,159,19.122981
-44.871429,165,19.15232
-48.547865,155,19.179831
-44.121429,163,19.210057
-43.085714,156,19.237735
-39.221429,159,19.266067
-40.435714,160,19.295393
-40.221429,158,19.323834
-40.871429,156,19.35191
-40.321429,159,19.380448
-39.221429,152,19.695689
-51.535714,162,19.725594
-35.271429,157,19.753519
-44.230562,158,19.781425
-39.971429,164,19.810354
-40.371429,166,19.84137
-40.071429,162,19.870253
-35.521429,160,19.898488
-39.921429,156,19.927001
-42.885714,157,19.95494
-36.871429,166,19.984291
-42.171429,161,20.012758
-34.671429,154,20.04077
-38.121429,158,20.360309
-40.421429,158,20.388078
-38.971429,158,20.415911
-39.321429,158,20.44369
-33.871429,159,20.473285
-46.071429,166,20.502608
-35.371429,163,20.531083
-39.485714,155,20.559044
-33.571429,161,20.587376
-36.121429,156,20.61485
-44.185714,154,20.641608
-38.989342,160,20.67093
-38.471429,156,20.698825
-39.685714,158,21.066751
-39.271429,153,21.096351
-42.921429,157,21.124859
-35.821429,161,21.153877
-37.321429,168,21.183587
-33.321429,158,21.212537
-44.385714,163,21.24153
-35.771429,163,21.270484
-37.187401,158,21.300349
-35.521429,158,21.328422
-41.642225,160,21.356984
-39.271429,166,21.385876
-40.221429,164,21.415944
-40.321429,153,21.735966
-44.671429,160,21.764469
-38.121429,157,21.792359
-43.871429,158,21.820541
-39.571429,159,21.849889
-38.704119,160,21.878322
-39.935714,162,21.907123
-38.521429,163,21.937171
-37.371429,157,21.964993
-41.071429,159,21.993165
-38.971429,155,22.020861
-44.985714,155,22.049558
-33.621429,160,22.078199
-43.205963,157,22.397544
-41.535714,157,22.425594
-34.871429,159,22.453782
-35.171429,158,22.482875
-37.871429,162,22.511868
-40.275877,163,22.540871
-36.198915,162,22.570722
-36.421429,158,22.599144
-32.297093,157,22.627421
-40.002377,165,22.656974
-34.071429,165,22.687509
-40.521429,160,22.716118
-34.321429,157,22.744012
-40.171429,159,23.059592
-43.009675,159,23.087903
-31.971429,161,23.117349
-32.171429,156,23.144958
-33.871429,161,23.173506
-43.035714,153,23.201442
-38.471429,163,23.231203
-36.721429,164,23.260505
-38.521429,162,23.289206
-35.121429,159,23.318395
-41.721429,159,23.346469
-38.871429,157,23.374142
-42.385714,155,23.691002
-31.321429,159,23.719097
-37.371429,156,23.748037
-35.321429,155,23.775479
-31.895057,158,23.803443
-34.471429,161,23.83269
-36.821429,157,23.860562
-31.983757,156,23.887889
-32.471429,155,23.914996
-35.321429,156,23.9433
-38.571429,159,23.971927
-33.321429,167,24.001874
-38.021429,160,24.030459
-34.771429,159,24.345761
-32.312722,155,24.374275
-37.171429,157,24.402105
-39.619294,156,24.429686
-38.985714,157,24.457411
-39.121429,159,24.486336
-31.971429,157,24.514065
-32.171429,157,24.54189
-33.271429,160,24.57093
-39.371429,164,24.59999
-37.471429,161,24.628183
-38.485714,163,24.656666
-40.771429,162,24.686207
-38.204335,159,25.002999
-33.61552,154,25.030819
-39.785714,168,25.060957
-40.071429,159,25.0893
-37.371429,161,25.119305
-36.921429,163,25.14843
-45.871429,163,25.177359
-45.321429,161,25.20679
-38.235714,164,25.23579
-38.721429,164,25.264624
-34.621429,158,25.292451
-38.571429,166,25.322562
-40.610365,163,25.351466
-37.221429,164,25.669229
-42.821429,164,25.698914
-31.921429,162,25.728024
-36.271429,153,25.756084
-34.771429,155,25.783359
-33.521429,152,25.809994
-32.021429,160,25.838057
-32.121429,164,25.868029
-37.721429,162,25.897044
-36.871429,161,25.925972
-45.435714,160,25.955547
-37.699925,157,25.983494
-31.921429,158,26.011572
-37.571429,158,26.327542
-39.021429,158,26.356015
-42.785714,163,26.38626
-37.821429,159,26.414518
-38.221429,161,26.44317
-32.871429,160,26.471594
-37.071429,158,26.500696
-39.435714,157,26.528296
-34.657143,164,26.557104
-41.971429,166,26.587181
-43.721429,159,26.615765
-36.921429,157,26.643997
-38.171429,157,26.672196
-33.129373,152,26.989007
-36.771429,159,27.018399
-41.171429,153,27.045462
-43.985714,156,27.07308
-39.621429,158,27.100915
-36.871429,155,27.129352
-35.071429,156,27.156681
-38.121429,164,27.18537
-34.071429,164,27.215103
-37.071429,157,27.243341
-31.771429,155,27.271114
-41.735714,164,27.300385
-42.921429,159,27.329833
-36.421429,155,27.646278
-37.521429,158,27.674621
-38.721429,159,27.703115
-37.621429,162,27.732075
-35.271429,157,27.761173
-32.071429,161,27.78995
-38.621429,156,27.817813
-42.721429,161,27.847323
-31.321429,149,27.873918
-35.921429,157,27.901971
-40.471429,161,27.930745
-37.821429,159,27.959967
-43.921429,159,27.988443
-35.071429,159,28.305783
-33.021429,156,28.333368
-32.626672,160,28.36154
-37.121429,159,28.39097
-38.721429,164,28.420323
-34.671429,160,28.448823
-39.571429,156,28.476517
-42.271429,157,28.505276
-39.171429,159,28.533585
-33.121429,161,28.562243
-38.371429,159,28.591543
-32.321429,161,28.619673
-37.921429,159,28.935752
-37.721429,159,28.964273
-33.421429,163,28.993588
-36.121429,155,29.022403
-45.335714,158,29.050712
-31.829966,163,29.079938
-43.121429,161,29.108777
-36.897138,162,29.138357
-32.721429,158,29.16655
-42.621429,158,29.194649
-38.571429,159,29.223754
-38.621429,162,29.252436
-31.721429,154,29.279649
-36.921429,160,29.644935
-32.231398,162,29.674779
-37.621429,158,29.703288
-37.09716,160,29.732312
-38.241181,158,29.762269
-38.521429,157,29.790842
-36.371429,166,29.825194
-38.385714,165,29.858553
-30.971429,157,29.892138
-36.121429,153,29.921941
-37.771429,161,29.951802
-31.071429,151,29.980495
-35.971429,154,30.008835
-31.471429,164,30.335473
-37.271429,157,30.36321
-43.235714,155,30.391567
-36.721429,158,30.419863
-37.557193,160,30.448311
-39.685714,157,30.476325
-31.771429,160,30.505757
-36.971429,157,30.533374
-37.171429,159,30.56131
-37.237045,161,30.589468
-37.144165,152,30.617937
-34.221429,163,30.64736
-37.521429,160,30.676022
-32.886557,163,30.993544
-31.671429,158,31.023089
-37.005238,158,31.051483
-37.121429,167,31.081515
-37.021429,157,31.109696
-36.121429,158,31.139026
-37.121429,156,31.167182
-38.119586,166,31.199427
-36.721429,158,31.229091
-37.055421,157,31.258293
-36.571429,163,31.287664
-37.321429,161,31.316417
-38.921429,158,31.345719
-31.621429,155,31.663348
-33.271429,163,31.692417
-36.021429,147,31.718525
-33.021429,165,31.747771
-36.921429,164,31.778459
-42.271429,153,31.805787
-37.071429,163,31.834929
-31.971429,160,31.864347
-36.971429,156,31.892117
-37.021429,155,31.919621
-32.271429,166,31.948998
-36.121429,156,31.97766
-37.521429,164,32.007149
-36.571429,158,32.373634
-36.571429,156,32.405556
-37.521429,160,32.434271
-31.871429,156,32.462745
-36.671429,154,32.490477
-32.371429,165,32.521299
-36.221429,154,32.548779
-31.471429,158,32.576698
-31.721429,160,32.606002
-37.39741,157,32.633712
-32.021429,161,32.662192
-42.121429,167,32.691588
-37.971429,153,32.719517
-32.121429,165,33.047651
-32.421429,159,33.076016
-39.021429,156,33.103643
-31.571429,164,33.133584
-37.567554,156,33.162207
-32.171429,166,33.192109
-36.971429,159,33.220905
-32.571429,160,33.250907
-38.207801,158,33.27895
-37.721429,163,33.307708
-33.571429,159,33.336194
-32.621429,157,33.368396
-36.721429,157,33.689046
-38.721429,161,33.717987
-36.221429,151,33.744925
-31.121429,158,33.774193
-36.721429,160,33.802489
-36.271429,156,33.830239
-37.921429,164,33.859348
-36.721429,153,33.887659
-38.671429,162,33.916302
-30.971429,152,33.943026
-37.921429,160,33.9713
-37.071429,161,34.000586
-36.950487,156,34.028251
-32.021429,164,34.346552
-36.806036,162,34.375467
-31.321429,161,34.40533
-31.721429,161,34.434025
-37.521429,158,34.462183
-33.071429,163,34.491165
-32.971429,164,34.521182
-31.171429,155,34.54834
-38.971429,161,34.576405
-37.421429,159,34.604042
-38.371429,163,34.634438
-32.821429,158,34.662963
-37.971429,152,34.690447
-31.271429,157,35.010888
-36.371429,155,35.039355
-32.521429,163,35.068573
-36.971429,162,35.097194
-39.871429,164,35.126228
-38.271429,163,35.155751
-36.521429,161,35.184163
-37.021429,155,35.211499
-37.021429,155,35.238923
-37.544738,156,35.267199
-31.471429,167,35.296766
-32.121429,154,35.323965
-32.721429,165,35.354019
-44.235714,163,35.670939
-38.671429,159,35.699539
-31.321429,159,35.727773
-38.871429,160,35.756162
-36.721429,159,35.785393
-37.621429,158,35.813833
-37.071429,156,35.841695
-37.521429,161,35.870322
-37.271429,158,35.899051
-36.471429,156,35.926218
-41.921429,159,35.953738
-37.771429,162,35.982067
-37.471429,162,36.011207
-36.021429,164,36.38907
-36.421429,156,36.419214
-32.371429,164,36.44984
-38.421429,159,36.478819
-38.471429,155,36.507515
-32.671429,156,36.537056
-37.321429,155,36.565803
-37.621429,158,36.594627
-32.171429,161,36.625856
-37.171429,158,36.655038
-37.671429,150,36.682347
-31.621429,162,36.715654
-43.435714,160,36.758723
-36.671429,163,37.082247
-43.771429,166,37.111709
-39.371429,164,37.14084
-37.621429,159,37.170509
-31.219474,154,37.198084
-37.321429,160,37.22674
-42.171429,158,37.255702
-33.121429,155,37.283296
-31.571429,154,37.310571
-32.421429,163,37.339504
-32.071429,165,37.369545
-33.221429,157,37.39742
-32.532001,167,37.427127
-37.571429,157,37.743425
-31.721429,155,37.770672
-32.621429,157,37.7998
-38.121429,159,37.828016
-31.771429,159,37.856074
-36.821429,163,37.885813
-37.571429,160,37.914535
-32.171429,160,37.943105
-36.521429,153,37.970309
-36.121429,153,37.998328
-37.821429,164,38.027181
-36.171429,156,38.054541
-36.389846,157,38.082009
-36.521429,154,38.398092
-36.063983,155,38.42697
-37.621429,159,38.45554
-36.321429,156,38.483561
-33.971429,154,38.511146
-37.221429,155,38.539484
-31.971429,154,38.566648
-36.821429,152,38.593403
-37.638517,160,38.621483
-31.621429,160,38.650587
-31.313819,152,38.677346
-37.071429,159,38.70516
-36.471429,159,38.733781
-37.021429,159,39.049632
-36.271429,160,39.078677
-37.221429,156,39.10681
-37.021429,160,39.135538
-36.721429,162,39.165462
-36.571429,161,39.194329
-36.571429,161,39.223236
-36.885045,155,39.251168
-36.621429,158,39.280392
-36.728265,160,39.308935
-35.721429,156,39.336876
-37.421429,152,39.364201
-42.021429,166,39.39459
-37.021429,162,39.709958
-32.171429,157,39.755876
-42.021429,158,39.794602
-36.271429,152,39.828507
-32.171429,164,39.859405
-31.971429,162,39.890796
-38.971429,163,39.920833
-37.471429,155,39.949225
-37.121429,162,39.978943
-31.270415,154,40.011346
-37.321429,155,40.041495
-36.021429,157,40.076815
-37.121429,161,40.403713
-42.321429,161,40.43395
-37.971429,161,40.462984
-31.571429,158,40.491359
-36.771429,155,40.520058
-35.921429,157,40.548364
-43.235714,156,40.577221
-37.121429,157,40.605968
-42.271429,164,40.636198
-36.921429,158,40.664505
-31.421429,153,40.691908
-37.921429,159,40.720291
-41.871429,161,40.749963
-37.121429,162,41.067675
-36.971429,159,41.096452
-32.471429,166,41.126336
-31.821429,163,41.157641
-42.621429,164,41.189122
-37.221429,165,41.224407
-31.821429,169,41.25589
-36.521429,155,41.285662
-42.871429,163,41.318137
-36.871429,156,41.348337
-32.921429,159,41.386065
-31.921429,158,41.414961
-37.560171,159,41.443905
-36.521429,159,41.763448
-36.621429,157,41.792329
-31.771429,164,41.82144
-41.433921,160,41.84981
-42.431309,166,41.879156
-36.421429,160,41.908145
-36.671429,153,41.93483
-37.709125,164,41.963584
-41.921429,165,41.992313
-36.171429,157,42.021221
-37.321429,154,42.048917
-36.321429,163,42.078211
-36.221429,162,42.108016
-43.421429,160,42.450327
-31.171429,155,42.479008
-31.471429,165,42.508595
-36.813356,155,42.537248
-41.371429,162,42.566311
-41.721429,163,42.595566
-31.971429,158,42.623406
-36.022222,153,42.651673
-36.021429,162,42.680352
-30.971429,154,42.707548
-31.621429,160,42.73665
-36.671429,158,42.764887
-36.571429,154,42.792342
-31.621429,160,43.129083
-37.021429,153,43.156575
-36.571429,163,43.186241
-42.771429,165,43.215111
-37.171429,163,43.244053
-35.871429,152,43.27211
-38.318781,158,43.300527
-32.521429,168,43.330616
-39.121429,158,43.35909
-32.021429,166,43.389692
-37.021429,158,43.417851
-32.221429,162,43.44658
-36.271429,159,43.474836
-37.921429,159,43.792156
-36.971429,160,43.821822
-36.221429,162,43.850864
-42.771429,160,43.87955
-36.221429,160,43.909028
-36.371429,163,43.937743
-36.421429,148,43.963765
-38.521429,164,43.992358
-37.771429,156,44.020851
-35.871429,157,44.049076
-38.421429,160,44.077911
-36.571429,159,44.106539
-32.921429,164,44.423845
-35.371429,151,44.452006
-32.521429,155,44.479484
-36.121429,158,44.508206
-31.171429,159,44.537744
-36.179488,160,44.56642
-36.371429,155,44.593838
-41.329086,161,44.622178
-36.221429,156,44.650745
-36.771429,160,44.679654
-36.471429,160,44.708575
-37.371429,159,44.737326
-36.221429,155,44.765743
-31.371429,158,45.080627
-36.903675,158,45.108629
-37.144665,159,45.136607
-31.971429,167,45.165833
-31.121429,159,45.195445
-35.771429,153,45.223011
-37.071429,164,45.252515
-36.421429,160,45.282066
-36.521429,159,45.310786
-36.121429,154,45.33839
-37.421429,162,45.367468
-34.907143,163,45.397693
-36.162285,156,45.425707
-32.171429,163,45.74143
-36.342656,153,45.768255
-36.221429,152,45.794855
-36.171429,157,45.823638
-36.521429,163,45.852611
-30.771429,157,45.880489
-37.021429,158,45.908364
-42.871429,165,45.938334
-36.571429,162,45.966907
-36.771429,156,45.994326
-35.921429,152,46.022119
-37.121429,156,46.050193
-37.913029,163,46.079615
-38.921429,153,46.394164
-36.921429,163,46.423447
-36.821429,159,46.452918
-36.221429,156,46.480886
-36.271429,155,46.508597
-40.871429,155,46.536444
-37.371429,157,46.565585
-37.121429,150,46.592319
-36.071429,157,46.620394
-37.221429,155,46.648118
-36.321429,161,46.677004
-37.171429,160,46.704819
-41.721429,163,46.733357
-37.221429,161,47.050487
-37.321429,154,47.078813
-35.871429,159,47.107679
-31.671429,159,47.136289
-36.321429,159,47.164798
-36.721429,161,47.194734
-36.421429,160,47.22323
-31.171429,152,47.250101
-36.521429,162,47.278711
-31.521429,166,47.308846
-31.621429,163,47.33767
-30.771429,158,47.36546
-30.821429,156,47.392936
-35.721429,148,47.706482
-31.221429,157,47.735384
-36.921429,161,47.76377
-35.971429,154,47.79075
-36.521429,162,47.820189
-37.971429,163,47.849454
-32.20604,161,47.878182
-31.021429,155,47.90587
-31.371429,161,47.935321
-37.871429,163,47.964165
-36.121429,158,47.992117
-35.921429,157,48.019878
-30.421429,155,48.048431
-36.571429,160,48.365672
-30.621429,155,48.393644
-36.621429,162,48.422815
-37.471429,159,48.451394
-42.125938,161,48.481319
-36.357364,153,48.508869
-37.071429,155,48.536633
-36.560369,156,48.565345
-37.175093,156,48.593225
-36.421429,152,48.620406
-31.071429,162,48.64933
-35.621429,156,48.677883
-37.564724,161,48.70613
-32.145522,168,49.02175
-36.187008,157,49.049306
-36.221429,158,49.076976
-36.221429,156,49.105829
-36.621429,154,49.133093
-36.971429,162,49.161776
-36.921429,160,49.189943
-42.171429,156,49.218118
-36.371429,156,49.245652
-42.349177,163,49.27436
-36.171429,160,49.303475
-36.821963,163,49.332691
-36.389318,155,49.360334
-36.271429,163,49.676094
-36.421429,158,49.704289
-37.071429,160,49.73361
-31.121429,164,49.762843
-30.871429,160,49.791289
-31.371429,166,49.820872
-36.321429,164,49.850919
-31.271429,163,49.87981
-37.771429,159,49.907867
-30.964544,155,49.936204
-37.466135,161,49.964924
-36.071429,160,49.993487
-37.971429,161,50.022125
-36.421429,156,50.336571
-37.321429,161,50.366196
-37.371429,158,50.394779
-36.321429,161,50.423918
-37.121429,163,50.45318
-36.685381,159,50.482401
-36.021429,158,50.510768
-36.221429,156,50.538793
-30.921429,152,50.566192
-41.035714,154,50.594736
-36.071429,160,50.623388
-36.271429,157,50.651492
-36.371429,154,50.679635
-36.64967,158,51.002486
-35.871429,155,51.030104
-36.801186,156,51.057747
-42.224709,167,51.087335
-41.321429,162,51.117267
-36.121429,156,51.145415
-37.171429,160,51.17421
-36.121429,158,51.203526
-36.371429,163,51.232813
-37.971429,155,51.260315
-36.721429,163,51.28923
-36.321429,156,51.317605
-35.921429,157,51.345141
-41.321429,166,51.661166
-37.131697,161,51.689997
-36.817769,159,51.718641
-36.271429,157,51.747782
-35.921429,157,51.775722
-30.671429,155,51.80308
-35.871429,157,51.830802
-36.771429,165,51.860559
-36.071429,155,51.887756
-35.771429,156,51.915104
