#{"t_start": 1764356411.018241, "env_id": "None"}
r,l,t
-71.432729,156,0.405783
-78.363545,157,0.436957
-78.7,149,0.469412
-73.035714,200,0.512462
-78.65,161,0.545423
-67.281475,163,0.580978
-74.1,151,0.611405
-75.3,156,0.645739
-72.6,158,0.678694
-64.372866,154,0.711838
-74.7,158,0.74341
-65.468283,166,0.779304
-70.75,154,0.812004
-68.95,155,0.843837
-65.535714,160,0.878208
-76.25,152,0.9101
-65.772307,154,0.944597
-75.579358,167,0.977294
-68.644979,158,1.011172
-68.35,154,1.041724
-60.45,154,1.0761
-64.070633,168,1.110525
-55.335714,166,1.145608
-65.45,148,1.174967
-68.8,152,1.210471
-67.45,153,1.241567
-79.0,162,1.273618
-65.75,156,1.306235
-73.55,159,1.340947
-65.758928,150,1.372329
-55.686083,163,1.403936
-53.885714,158,1.437544
-57.25787,150,1.470344
-60.969352,158,1.503183
-68.05,157,1.535677
-63.0,161,1.569027
-51.589352,163,1.603884
-63.95,155,1.635981
-63.5,158,1.669173
-72.0,158,1.700707
-64.6,153,1.736254
-59.404449,159,1.768213
-70.3,161,1.801335
-58.557278,162,1.83337
-68.0,162,1.87037
-71.6,158,1.901785
-55.1646,156,1.93457
-66.8,159,1.967243
-63.35,159,2.002481
-67.3,163,2.035244
-55.621499,158,2.069855
-60.75,155,2.101021
-56.7,156,2.135468
-72.35,158,2.168466
-67.95,150,2.198825
-63.35,160,2.23204
-61.05,152,2.282439
-50.741521,162,2.316484
-63.059238,157,2.347539
-65.25,156,2.381235
-71.05,156,2.414324
-59.465029,165,2.448678
-53.821429,200,2.490075
-62.5,152,2.520665
-61.45,148,2.553457
-59.8,159,2.58658
-65.85,151,2.616678
-61.45,161,2.64995
-68.95,156,2.6834
-59.478076,162,2.717598
-72.1,159,2.749554
-69.05,156,2.781928
-64.0,163,2.817682
-65.2,153,2.850248
-64.37131,156,2.880935
-58.5,159,2.91502
-68.4,162,2.948772
-50.162734,159,2.981788
-66.6,158,3.014168
-69.95,159,3.047267
-63.05,162,3.08216
-56.085714,171,3.118771
-68.788291,159,3.151277
-65.85,154,3.182991
-64.25,153,3.216801
-64.8,160,3.250453
-61.55,156,3.281761
-66.4,159,3.315656
-66.35,160,3.35051
-54.355566,152,3.381932
-69.3,152,3.413861
-66.85,156,3.446008
-57.15,155,3.480414
-69.7,161,3.513139
-67.45,156,3.547064
-61.2,160,3.57855
-67.0,158,3.613399
-64.8,161,3.647179
-57.6,162,3.681046
-60.983608,160,3.712442
-64.5,158,3.748063
-63.2,157,3.779811
-63.2,161,3.812933
-52.835714,164,3.846643
-53.506598,153,3.880627
-51.235714,200,3.921976
-53.18506,152,3.952898
-55.734095,156,3.984662
-55.451495,155,4.018847
-60.830328,164,4.05232
-58.6,154,4.084905
-61.2,160,4.116743
-53.385714,157,4.151657
-62.85,162,4.185538
-53.435714,200,4.225917
