#{"t_start": 1764075715.959771, "env_id": "None"}
r,l,t
-81.15,152,0.564533
-72.135714,200,0.602135
-68.843159,158,0.631721
-71.685714,161,0.661939
-67.193122,163,0.691441
-78.15,162,0.720884
-75.485714,155,0.751229
-65.9,156,0.781041
-68.377559,200,0.818114
-73.794159,154,0.846709
-62.021429,188,0.884061
-70.385714,160,0.913572
-74.835714,200,0.950427
-75.5,151,0.978412
-75.8,159,1.007837
-73.95,154,1.036214
-65.721429,156,1.065412
-55.413067,159,1.094589
-64.840892,165,1.125148
-73.65,151,1.152604
-82.85,162,1.185367
-75.985714,198,1.221708
-77.2,156,1.2505
-79.85,152,1.280243
-62.871429,200,1.317466
-81.75,152,1.345298
-67.095787,162,1.376262
-79.45,160,1.406028
-79.9,157,1.434587
-68.894109,165,1.465024
-75.25,154,1.496338
-78.3,156,1.525081
-73.9,156,1.553837
-67.885714,200,1.591886
-74.05,154,1.620703
-53.221429,161,1.650577
-73.505873,152,1.678744
-68.664233,163,1.709477
-66.885714,165,1.740732
-71.671429,200,1.777804
-75.335714,164,1.810893
-64.275096,161,1.840255
-70.8,152,1.868679
-69.185714,161,1.898726
-55.550734,158,1.929201
-68.085714,165,1.960396
-77.05,159,1.990278
-69.067035,200,2.028613
-66.65,160,2.058528
-65.585714,153,2.086854
-68.050592,153,2.11853
-63.985714,163,2.149162
-64.29595,156,2.17861
-67.335714,167,2.210742
-71.585444,161,2.242459
-68.214415,155,2.271876
-66.685714,156,2.309304
-67.035714,163,2.343098
-63.871429,200,2.381488
-67.971429,178,2.416643
-62.813315,153,2.449184
-68.935714,171,2.48983
-65.385714,161,2.522295
-58.735714,158,2.554604
-63.871429,200,2.594067
-64.585714,159,2.624336
-69.871429,198,2.663188
-70.35,156,2.692678
-64.371429,200,2.732552
-67.221429,200,2.77157
-51.121429,163,2.80508
-57.771429,200,2.843594
-66.235714,173,2.87748
-66.3,154,2.906291
-66.185714,168,2.938483
-55.871429,162,2.97042
-58.685714,166,3.001825
-67.821429,194,3.039456
-62.035714,164,3.071752
-61.271429,200,3.110963
-56.585714,164,3.144117
-64.835714,165,3.178892
-61.221429,200,3.218786
-67.871429,200,3.258641
-57.585714,159,3.290875
-52.635714,161,3.322369
-59.985714,157,3.352323
-62.485714,161,3.3844
-69.035714,200,3.424807
-59.071429,200,3.465028
-57.021429,189,3.504916
-67.479727,196,3.542909
-54.021429,162,3.575105
-60.407143,196,3.615752
-62.871429,183,3.652654
-65.321429,200,3.693643
