#{"t_start": 1764357089.596622, "env_id": "None"}
r,l,t
-75.455188,156,0.499405
-72.634959,160,0.528218
-68.035714,165,0.557653
-78.75,159,0.587683
-85.85,167,0.617936
-76.2,159,0.646463
-86.5,161,0.675438
-75.207288,157,0.704161
-71.3,151,0.730692
-66.635714,157,0.758074
-78.55,162,0.787218
-80.35,162,0.816906
-77.671429,200,0.852748
-64.035714,164,0.881997
-69.235714,161,0.911993
-75.032507,167,0.942176
-66.485714,156,0.969978
-73.633589,155,0.99868
-73.055825,164,1.027433
-78.5,157,1.054819
-70.685714,167,1.083761
-62.266893,200,1.119752
-68.671429,200,1.154463
-72.660662,158,1.181904
-77.927208,162,1.662944
-66.685714,162,1.69235
-75.9,154,1.720175
-64.835714,165,1.750999
-79.8,153,1.778664
-78.71601,166,1.808709
-78.85,157,1.837112
-81.35,154,1.865609
-70.7,154,1.893163
-64.071493,159,1.921477
-70.517673,160,1.949722
-78.7,151,1.977707
-74.75,155,2.005601
-75.45,158,2.034176
-79.65,158,2.062779
-68.359711,165,2.093316
-78.2,157,2.121498
-62.885714,163,2.150878
-76.55,163,2.181025
-80.15,153,2.208625
-82.4,153,2.236222
-59.927144,160,2.265092
-68.679627,200,2.301864
-69.712549,166,2.331377
-71.428978,162,2.360145
-59.471429,164,2.390202
-66.399796,200,2.864187
-73.6,154,2.891551
-58.071429,172,2.923598
-66.235714,200,2.959554
-61.297481,163,2.988563
-57.625481,159,3.017652
-68.908977,161,3.046967
-59.785714,162,3.076384
-66.085714,172,3.107487
-66.95,156,3.136402
-66.024421,161,3.165107
-78.55,155,3.192536
-72.05,149,3.219101
-60.896048,167,3.249734
-68.635714,151,3.276601
-56.585714,165,3.305964
-74.75,158,3.334739
-64.985714,162,3.363696
-69.363291,190,3.396988
-70.25,151,3.423523
-75.75,156,3.451797
-66.95,154,3.479286
-69.0,164,3.508449
-67.191295,197,3.544177
-70.65,158,3.572501
-68.2,153,4.040264
-57.085714,162,4.069737
-68.6,161,4.099868
-66.011491,159,4.129543
-62.685714,161,4.158908
-60.585057,154,4.187767
-67.835714,176,4.218789
-69.4,151,4.245173
-66.485714,165,4.273888
-68.185714,158,4.303218
-62.385714,160,4.332338
-64.157357,161,4.361492
-64.631567,156,4.390364
-54.114154,162,4.418555
-77.75,160,4.446432
-72.05,160,4.474285
-59.547125,152,4.502004
-68.65,153,4.529682
-62.576808,161,4.558873
-67.721429,200,4.595026
-68.95,160,4.623681
-58.221429,181,4.655281
-68.24086,162,4.683542
-71.085714,200,4.719852
-67.95,156,4.747988
-58.385714,161,5.223177
-64.166891,163,5.253916
-54.385714,167,5.283813
-50.985714,155,5.311672
-56.085714,164,5.34187
-67.55,158,5.370489
-64.7,156,5.400527
-56.911733,158,5.428747
-73.5,154,5.457258
-65.55,157,5.485424
-73.15,168,5.515412
-49.535714,163,5.544522
-55.16131,167,5.575092
-47.471429,165,5.604184
-60.421429,187,5.637097
-60.3,157,5.665459
-54.850128,163,5.694041
-56.721429,178,5.725301
-67.45,157,5.753003
-68.05,163,5.782564
-62.268019,162,5.810942
-66.45,161,5.839171
-69.8,163,5.868478
-56.035714,162,5.897461
-67.4,158,5.926134
-63.65,161,6.399953
-58.39219,156,6.428393
-55.371429,169,6.458603
-49.571429,158,6.486893
-69.85,153,6.515302
-55.409757,154,6.543305
-62.5,156,6.571607
-58.007994,158,6.600374
-59.271429,199,6.636525
-56.14505,160,6.664639
-50.8383,163,6.693193
-59.05,158,6.721641
-48.519309,151,6.748634
-62.465429,155,6.776371
-66.0,159,6.804757
-61.535714,163,6.834538
-66.85,166,6.863989
-52.435714,160,6.89245
-46.935714,165,6.921916
-58.921904,184,6.955012
-58.121997,154,6.982033
-56.035714,161,7.010217
-59.971429,188,7.044404
-64.6,160,7.073494
-49.485714,157,7.10208
-52.935714,161,7.576651
-63.25,159,7.604695
-47.735714,161,7.632988
-53.735714,165,7.661924
-47.235714,160,7.691643
-44.312897,162,7.721161
-47.685714,158,7.749781
-62.581754,156,7.778948
-47.135714,156,7.806935
-63.248885,160,7.835516
-61.821429,194,7.870086
-51.035714,170,7.90104
-47.901133,162,7.929786
-51.121429,170,7.960031
-51.821429,156,7.988686
-58.904683,162,8.017123
-43.324222,162,8.045405
-55.435714,165,8.074368
-57.9,148,8.101428
-49.376789,165,8.131401
-56.235714,179,8.163952
-52.371429,181,8.197328
-52.185714,160,8.225939
-73.15,158,8.254065
-61.947769,158,8.282161
-47.652391,154,8.754672
-58.821429,199,8.790359
-46.549363,154,8.817838
-49.235714,166,8.848857
-48.285714,163,8.878505
