#{"t_start": 1764358336.156662, "env_id": "None"}
r,l,t
-77.55,152,0.389322
-73.785714,200,0.42645
-77.75,153,0.45327
-79.45,153,0.482317
-78.127952,175,0.514239
-79.25,160,0.543081
-71.539746,157,0.572184
-70.6,158,0.601148
-68.085714,162,0.630548
-76.45,159,0.658861
-68.235714,159,0.688631
-71.635714,160,0.717051
-80.6,149,0.743627
-80.35,160,0.772301
-64.282671,157,0.801801
-76.250439,164,0.830914
-79.1,152,0.858606
-72.68591,154,0.886762
-74.388216,164,0.915967
-79.0,152,0.942724
-64.416156,163,0.971847
-69.32537,162,1.001939
-73.0,163,1.031299
-73.124116,159,1.060252
-72.357861,159,1.088702
-69.521007,167,1.581391
-76.75,155,1.609214
-70.091489,157,1.639371
-77.55,160,1.66792
-66.085714,157,1.695668
-84.35,164,1.72459
-73.060969,157,1.75426
-82.85,157,1.782616
-71.2,156,1.810157
-79.65,159,1.839204
-74.15,151,1.86659
-71.45,152,1.893357
-71.495648,155,1.920572
-60.385714,165,1.951055
-77.335714,163,1.980778
-63.385714,185,2.013635
-72.324913,160,2.042532
-78.3,165,2.072443
-73.85,155,2.100524
-78.0,154,2.128161
-73.144464,163,2.158324
-70.335497,153,2.185136
-65.171429,200,2.220735
-72.4,165,2.250446
-73.2,157,2.278345
-77.283926,159,2.772485
-65.385714,153,2.800775
-65.335014,152,2.827656
-63.635714,159,2.855658
-68.05,160,2.88534
-68.171429,199,2.921376
-74.2,150,2.948751
-64.985714,159,2.977531
-71.193159,200,3.014914
-59.921429,175,3.045969
-63.535714,161,3.075326
-76.65,163,3.105619
-63.671429,154,3.132736
-61.285714,164,3.162384
-62.371429,187,3.197126
-67.271429,176,3.228966
-72.8,160,3.257798
-71.0,157,3.286125
-80.95,150,3.313967
-68.935714,158,3.34219
-66.379792,190,3.375714
-74.1,151,3.402816
-84.8,161,3.432556
-70.888655,170,3.463267
-71.686589,150,3.490135
-61.054063,156,3.997754
-66.866399,164,4.028567
-71.15,164,4.060421
-65.585714,173,4.092612
-72.1,156,4.120785
-63.746434,157,4.149993
-58.216274,200,4.185867
-57.671429,176,4.217119
-65.385714,162,4.246621
-64.671429,162,4.276379
-60.985714,173,4.307534
-58.564033,163,4.375319
-60.192146,156,4.415583
-69.857754,162,4.456454
-70.5,153,4.489326
-76.45,159,4.519774
-57.238692,155,4.547946
-67.90846,160,4.57844
-66.735714,165,4.609453
-64.371429,165,4.639611
-69.078906,160,4.668959
-71.7,158,4.699339
-60.485714,156,4.72746
-63.470185,158,4.756496
-67.085714,160,4.786693
-71.6,161,5.271772
-50.735714,161,5.302208
-62.151819,152,5.332949
-61.273047,164,5.365189
-62.471429,177,5.398211
-65.708185,158,5.428302
-56.985714,200,5.464684
-69.2,162,5.493378
-63.985714,164,5.52332
-65.585714,169,5.554106
-57.035714,164,5.583278
-65.989942,166,5.612696
-71.75,156,5.64193
-56.435714,155,5.6697
-61.385714,164,5.698881
-62.521429,191,5.733844
-59.099213,160,5.763303
-76.05,159,5.792182
-64.931746,165,5.822134
-64.585714,154,5.850964
-62.435714,155,5.87958
-64.847121,163,5.909142
-64.535714,185,5.943756
-52.285714,164,5.974036
-58.810938,158,6.002948
-59.520033,158,6.494883
-55.735714,164,6.524131
-53.085714,161,6.552987
-66.65,164,6.58357
-53.935714,170,6.614303
-51.871429,157,6.642763
-53.935714,158,6.671416
-55.485714,165,6.702356
-56.321429,200,6.738419
-65.5,152,6.765344
-65.485714,161,6.79492
-61.485714,153,6.823185
-57.28028,200,6.859375
-56.77862,154,6.886493
-67.3,153,6.915701
-53.171429,156,6.944562
-61.958546,162,6.974007
-55.921429,159,7.004004
-63.235714,161,7.032603
-53.835714,164,7.062545
-54.835714,163,7.092447
-59.235714,164,7.122989
-56.885714,161,7.151575
-51.321429,159,7.179761
-62.385714,168,7.210422
-54.035714,150,7.697046
-57.485714,158,7.725099
-56.685714,164,7.755839
-57.4,155,7.784661
-56.148423,185,7.81864
-46.871429,162,7.849101
-49.435714,161,7.878265
-48.580856,156,7.906581
-56.015055,155,7.935027
-52.785714,177,7.968351
-59.635714,174,8.000204
-57.287321,163,8.029623
-54.071429,171,8.061425
-48.735714,159,8.089763
-55.285714,159,8.118347
-49.176153,163,8.148091
-56.121429,169,8.179267
-53.135714,164,8.20836
-57.985714,156,8.23653
-57.121429,157,8.265668
-53.921429,189,8.29922
-49.885714,168,8.32988
-54.721429,177,8.361755
-59.45,160,8.391785
-50.435714,200,8.42712
-53.771429,162,8.908359
-50.371429,161,8.9383
-50.871429,168,8.968221
-48.885714,166,8.997681
-52.921429,167,9.028911
-50.869184,164,9.058594
-48.021429,162,9.088691
-60.787925,155,9.118125
-48.835714,162,9.148222
-50.610251,161,9.177288
-55.535714,155,9.204873
-41.271429,160,9.235061
-50.771429,165,9.265107
-41.771429,154,9.292379
-52.821429,188,9.32684
-56.135714,155,9.355471
-58.735714,156,9.384097
-45.898739,157,9.412675
-45.021816,161,9.443278
-54.735714,172,9.474774
-49.535714,161,9.503828
-52.821429,158,9.5325
-45.021429,156,9.561238
-53.285714,161,9.590707
-52.635714,169,9.621588
-46.621429,158,10.108385
-44.671429,154,10.135998
-46.785714,162,10.164799
-51.985714,161,10.195143
-44.535714,163,10.224047
-47.585714,159,10.252492
-46.735714,162,10.282617
-49.771429,161,10.311413
-51.821429,156,10.33991
-43.857143,158,10.368833
-53.235714,185,10.403246
-55.544218,154,10.431075
-45.885714,166,10.461944
-45.935714,166,10.49387
-50.685714,157,10.523878
-50.207143,190,10.559588
-49.085714,164,10.590704
-45.635714,165,10.621852
-44.785714,161,10.652001
-39.621429,158,10.680327
-55.335714,174,10.713374
-48.321429,157,10.742518
-49.085714,163,10.772484
-45.835714,156,10.801806
-39.721429,160,10.831578
-50.635714,163,11.317767
-37.521429,159,11.348087
-44.685714,159,11.376805
-52.021429,163,11.406026
-46.035714,166,11.437311
-43.385714,157,11.466269
-44.409249,168,11.497188
-42.071429,169,11.528238
-52.435714,160,11.55892
-46.93417,159,11.587903
-45.271429,185,11.621749
-49.785714,172,11.654487
-51.721429,169,11.685212
-38.271429,166,11.714729
-49.885714,157,11.743321
-44.466162,162,11.773758
-42.421429,154,11.80221
-47.551024,160,11.831158
-35.497789,153,11.860387
-47.721429,166,11.890844
-39.921429,164,11.920289
-44.385714,159,11.948471
-47.435714,167,11.979828
-46.321129,167,12.00937
-44.371429,161,12.037754
-50.485714,158,12.560896
-44.121429,160,12.592452
-41.285714,166,12.623555
-43.961897,160,12.652933
-44.393027,161,12.682727
-50.685714,180,12.716667
-54.285714,162,12.746481
-40.671429,188,12.781154
-39.071429,163,12.812376
-48.935714,160,12.841425
-35.121429,157,12.870041
-41.821429,163,12.900333
-48.121429,168,12.931031
-48.135714,164,12.961058
-41.72628,162,12.990408
-44.085714,177,13.023755
-44.521429,156,13.05156
-47.021429,163,13.081204
-35.671429,161,13.111583
-39.035714,160,13.141108
-41.885714,156,13.170041
-41.621429,157,13.20057
-42.285714,162,13.232664
-44.485714,162,13.26398
-42.682312,162,13.293994
-43.135714,153,13.324095
-42.121429,158,13.81913
-40.071429,156,13.849435
-41.835714,156,13.877762
-45.785714,161,13.906504
-36.171429,157,13.934119
-39.135714,176,13.966864
-38.157143,169,13.997086
-37.871429,158,14.026181
-44.735594,158,14.056215
-34.521429,153,14.083818
-38.757143,162,14.112686
-41.331704,159,14.141814
-39.571429,160,14.171983
-44.821429,158,14.199847
-47.135714,168,14.230267
-44.471429,160,14.260104
-49.135714,166,14.290237
-35.085406,163,14.31982
-40.671429,164,14.349147
-46.385714,166,14.380518
-40.207143,162,14.410216
-40.321429,152,14.437337
-41.221429,151,14.464166
-41.861393,157,14.493988
-41.585714,162,14.523549
-41.635714,181,15.008555
-42.425874,158,15.037696
-40.821429,158,15.066947
-45.871429,155,15.09531
-40.071429,156,15.124822
-44.721429,165,15.15422
-38.921429,163,15.183426
-41.821429,158,15.21252
-44.421429,153,15.240734
-40.671429,163,15.270273
-41.421429,160,15.29968
-47.171429,186,15.33465
-42.135714,165,15.364066
-39.985714,158,15.392152
-38.321429,163,15.422097
-39.921429,157,15.450897
-40.171429,162,15.479842
-41.571429,162,15.508513
-46.185714,177,15.541491
-45.071429,161,15.569945
-43.185714,168,15.600759
-38.071429,153,15.629255
-40.171429,157,15.657737
-44.953438,158,15.68613
-39.371429,156,15.714522
