#{"t_start": 1764083736.000767, "env_id": "None"}
r,l,t
-70.235714,179,0.546041
-66.839844,155,0.577794
-74.801672,162,0.609854
-77.6,156,0.641713
-79.5,156,0.672335
-70.5,151,0.702103
-73.535714,200,0.742619
-74.8,156,0.772981
-75.25,154,0.803461
-73.35,151,0.832699
-76.4,157,0.867243
-81.15,163,0.899553
-70.7,148,0.929202
-69.685714,172,0.964163
-71.465959,154,0.994786
-71.248359,164,1.027119
-70.245286,152,1.057787
-65.943412,154,1.087923
-75.706834,164,1.120563
-71.6,152,1.150785
-68.7,155,1.18531
-71.085714,200,1.225258
-69.385714,165,1.25818
-67.935214,157,1.291167
-75.75,155,1.322128
-68.962049,153,1.352834
-83.85,156,1.384818
-70.366894,159,1.417085
-66.299068,160,1.449124
-79.435714,189,1.487096
-68.675176,160,1.521761
-74.2,144,1.550212
-74.1,152,1.580477
-64.135714,165,1.614031
-58.274583,150,1.643608
-73.15,152,1.674027
-72.835714,162,1.708808
-75.45,160,1.741408
-69.935714,164,1.7741
-77.305941,166,1.807217
-71.935714,200,1.849708
-66.422651,163,1.882708
-62.835714,155,1.914014
-68.137338,164,1.948388
-74.993062,169,1.982072
-75.9,148,2.01143
-66.894009,174,2.04701
-69.78932,162,2.079717
-72.05,153,2.110352
-61.821429,161,2.14416
-71.491387,153,2.176377
-68.143789,157,2.20824
-63.081446,200,2.249352
-71.685714,162,2.282661
-62.021429,172,2.317891
-73.435714,193,2.357461
-71.472396,154,2.389215
-65.535714,160,2.421801
-67.085714,200,2.462282
-54.435714,169,2.4982
-58.385714,151,2.530085
-65.071429,200,2.570926
-64.485714,148,2.601903
-60.740568,160,2.635122
-70.906126,153,2.666463
-63.179559,166,2.700881
-64.671429,200,2.741721
-65.621429,200,2.782937
-62.735714,165,2.817131
-61.367818,166,2.851207
-58.921429,157,2.88476
-69.759974,165,2.919323
-57.185714,163,2.953193
-61.721429,172,2.988879
-59.475298,165,3.023823
-67.135714,162,3.057482
-59.069536,166,3.091056
-68.221429,200,3.132426
-59.691752,153,3.164515
-65.121429,181,3.20188
-60.785714,164,3.238776
-66.835714,165,3.273222
-63.771429,200,3.314751
-55.071429,159,3.348659
-55.585714,166,3.383454
-66.15,157,3.41606
-62.947184,152,3.447272
-66.721429,185,3.486487
-57.421429,154,3.518421
-62.271429,183,3.557031
-66.117325,162,3.593435
-53.385714,165,3.627967
-57.671429,170,3.663178
-55.635714,163,3.698351
-58.84126,180,3.735999
-53.729774,171,3.772055
-64.6,160,3.806219
-62.485714,163,3.840231
-55.185714,157,3.873234
-56.978485,158,3.906887
-54.807143,200,3.950691
-55.121429,177,3.988821
-59.471429,166,4.024959
-63.271429,161,4.058547
-64.118259,161,4.092405
-57.085714,158,4.126543
-59.621429,176,4.163584
-72.05,155,4.195672
-57.65696,156,4.22888
-52.935714,166,4.264429
-55.485714,169,4.301811
-51.621429,157,4.334964
-52.571429,166,4.371082
-56.821429,163,4.405334
-56.021429,173,4.44344
-59.035714,163,4.477478
-54.785714,158,4.510828
-73.85,154,4.542473
-54.321429,187,4.583568
-50.351048,160,4.617231
-73.885714,171,4.654898
-57.521429,160,4.688734
-61.193473,159,4.721253
-53.69623,151,4.753635
-56.57904,160,4.788739
-47.635714,161,4.822915
-57.971429,175,4.860718
-56.071429,168,4.897829
-56.621429,174,4.93528
-58.321429,173,4.971483
-64.485714,180,5.012326
-62.671429,200,5.054543
-62.371429,184,5.094738
-58.671429,166,5.12991
-56.485714,161,5.165052
-57.584473,176,5.203555
-54.280329,160,5.238092
-55.526558,157,5.271947
-55.785714,165,5.307764
-52.371429,156,5.340964
-57.035714,154,5.375767
-61.921429,176,5.413878
-56.485714,163,5.44889
-58.885714,167,5.48469
-56.171429,167,5.522345
-54.221429,161,5.556368
-52.663133,159,5.590199
-50.571429,155,5.624282
-56.785714,172,5.661533
-60.192887,188,5.702682
-58.578595,166,5.741187
-57.471429,200,5.783616
-55.571429,163,5.819067
-61.496246,158,5.853693
-49.744667,153,5.887012
-61.464979,157,5.920221
-57.25604,164,5.957102
-57.171429,167,5.993045
-59.584184,164,6.028497
-58.271429,156,6.062371
-55.421429,160,6.098634
-54.571429,159,6.132897
-60.121429,189,6.176144
-59.89335,166,6.212107
-58.782839,170,6.249728
-60.485714,165,6.286079
-54.324531,160,6.321203
-62.495287,157,6.354306
-59.285714,161,6.389862
-60.121429,178,6.428492
-48.871429,156,6.464316
-55.144712,167,6.501772
-54.621429,165,6.53779
-50.035714,167,6.574679
-54.721429,161,6.611007
-52.171429,154,6.645182
-52.221429,200,6.688534
-56.815682,159,6.724647
-61.585714,156,6.758437
-52.171429,148,6.791063
-51.721429,180,6.833009
-58.741158,159,6.868771
-48.121429,160,6.903927
-59.321429,195,6.947533
-57.085714,171,6.985334
-54.475019,154,7.019641
-55.412193,155,7.054371
-53.766273,159,7.089264
-58.035714,177,7.129064
-58.235714,166,7.16593
-59.171429,168,7.203824
-51.538027,157,7.2387
-52.235714,163,7.275824
-55.045194,167,7.313231
-54.816641,156,7.34811
-54.471429,171,7.38653
-56.236885,162,7.422449
-53.375166,162,7.458704
-51.12784,167,7.496387
-52.771429,176,7.538698
-55.621429,161,7.581299
-56.251561,155,7.61635
-61.235714,186,7.658551
-52.434611,184,7.718112
-56.521429,180,7.759159
-55.32995,167,7.79727
-55.245239,171,7.838172
-47.725675,162,7.878338
-52.921429,159,7.915011
-51.869793,166,7.952386
-53.621429,187,7.996525
-55.508992,174,8.035731
-52.255547,167,8.073412
-52.413725,165,8.110466
-51.921429,160,8.146742
-54.869994,184,8.187778
