#{"t_start": 1764231532.608307, "env_id": "None"}
r,l,t
-67.785714,152,0.498146
-74.947304,156,0.520071
-67.852436,152,0.540521
-71.752479,157,0.562075
-65.821429,200,0.637392
-65.442075,157,0.658686
-74.9,157,0.679778
-71.911886,159,0.701938
-76.735714,200,0.729933
-71.580413,156,0.751179
-81.9,162,0.911236
-78.4,161,0.933321
-73.135216,158,0.955102
-80.9,159,0.977069
-74.95,151,0.998211
-71.361317,159,1.025091
-76.32856,157,1.049585
-76.9,153,1.075877
-68.65,150,1.101122
-75.055822,163,1.129315
-70.526215,155,1.301833
-83.95,163,1.323856
-77.102499,154,1.344604
-77.585036,156,1.367028
-67.625933,159,1.389385
-74.035714,184,1.415652
-83.25,158,1.438081
-70.321392,162,1.461191
-58.719994,156,1.482473
-63.535714,163,1.504727
-65.535714,166,1.66677
-79.3,153,1.688222
-68.504452,156,1.709837
-75.80194,163,1.732146
-65.330117,153,1.75338
-70.374087,152,1.773434
-84.3,160,1.795375
-79.05,152,1.816283
-80.9,164,1.839221
-76.302914,167,1.862056
-80.9,156,2.019507
-83.55,163,2.042542
-76.839606,168,2.066033
-62.809235,158,2.111134
-85.55,157,2.133225
-69.819454,157,2.155928
-73.05,158,2.179305
-70.515576,164,2.202278
-69.335714,165,2.226376
-75.5,154,2.247973
-62.281663,158,2.409848
-80.65,149,2.429945
-80.7,158,2.451172
-78.6,162,2.521616
-66.044902,162,2.543623
-80.35,156,2.564677
-77.1,153,2.585404
-77.25,150,2.606145
-78.4,154,2.626771
-70.365463,168,2.648807
-76.035714,200,2.815204
-86.35,162,2.837756
-80.0,150,2.858527
-67.379333,154,2.879966
-85.05,158,2.90232
-71.8,154,2.922698
-60.562054,161,2.944333
-76.85,159,2.965327
-82.2,153,2.985728
-66.648238,200,3.01214
-76.35,154,3.178852
-71.968332,161,3.201344
-70.5516,163,3.224181
-73.435228,158,3.246585
-79.7,156,3.268344
-67.364974,151,3.289997
-73.75,150,3.311303
-78.8,161,3.333317
-73.696081,158,3.354844
-85.4,163,3.377854
-75.55,150,3.538871
-73.820088,160,3.561538
-76.953794,159,3.583694
-78.9,153,3.605829
-79.1,157,3.627465
-85.5,151,3.647671
-69.077909,161,3.669484
-64.424218,153,3.691001
-72.75,155,3.712127
-69.0,147,3.732066
-77.2048,162,3.891329
-75.75,156,3.912549
-76.294548,154,3.933426
-74.8,152,3.954109
-68.224889,153,3.97487
-72.9,156,3.996638
-79.45,159,4.017701
-77.6,155,4.03815
-73.6,162,4.061465
-74.473583,161,4.083115
