#{"t_start": 1764356325.2494001, "env_id": "None"}
r,l,t
-76.143116,156,0.3893
-69.985714,200,0.43757
-87.0,158,0.469976
-74.360063,161,0.499212
-54.385714,166,0.531743
-79.7,164,0.561259
-70.797373,158,0.593943
-70.085714,200,0.632303
-73.0,156,0.659519
-82.585883,155,0.690709
-70.74458,194,0.728281
-80.1,157,0.756173
-76.35,150,0.78643
-77.435714,166,0.818974
-67.818086,157,0.846538
-71.45,161,0.880473
-67.749919,159,0.912595
-64.335714,152,0.939296
-69.581102,157,0.969535
-67.558709,157,0.998363
-73.3,161,1.030099
-71.65,158,1.060733
-68.235714,161,1.088814
-59.135714,200,1.128126
-55.298752,164,1.159904
-95.45,155,1.186865
-83.6,161,1.218732
-84.1,151,1.246063
-74.35,157,1.276318
-81.45,163,1.307566
-82.45,158,1.336961
-81.333478,160,1.370475
-75.1,161,1.402122
-55.752443,156,1.431069
-67.9,156,1.461635
-59.9,161,1.489961
-73.95,154,1.520767
-70.15,158,1.55287
-60.35,152,1.580281
-58.50649,166,1.612591
-65.0,162,1.645894
-62.3,158,1.674778
-65.7,155,1.70505
-62.7,160,1.734374
-72.55,153,1.764742
-69.55,156,1.795047
-64.55,161,1.823148
-65.05,150,1.855418
-66.6,154,1.882622
-74.1,162,1.914155
-68.2,160,1.94605
-66.55,155,1.974208
-79.5,159,2.005153
-74.05,157,2.03262
-70.0,158,2.064321
-64.8,156,2.094709
-62.275556,158,2.122556
-71.85,158,2.153207
-73.35,162,2.186305
-64.552765,165,2.215462
-63.2,162,2.247113
-67.5,155,2.275789
-56.82586,163,2.307752
-67.6,155,2.340106
-68.5,158,2.369131
-65.55,151,2.399041
-66.85,149,2.425519
-84.7,157,2.455709
-59.65,154,2.486726
-54.65,162,2.515856
-57.987644,162,2.547019
-63.55,155,2.577612
-60.15,154,2.605203
-60.819141,170,2.637826
-65.8,155,2.665326
-68.6,159,2.696907
-66.010535,156,2.727371
-74.35,154,2.754879
-80.15,159,2.788794
-68.45,163,2.822233
-67.5,146,2.848361
-65.5,158,2.879128
-64.2,160,2.908572
-64.55,161,2.940274
-62.3,159,2.971442
-68.4,161,3.000839
-65.0,152,3.030861
-63.15,160,3.058832
-68.4,158,3.088993
-63.8,149,3.118857
-71.35,151,3.145858
-62.3,151,3.175667
-60.2,154,3.203171
-65.55,152,3.23407
-63.75,153,3.263838
-65.1,156,3.291822
-73.698888,164,3.32671
-80.35,159,3.355174
