#{"t_start": 1764076144.484875, "env_id": "None"}
r,l,t
-72.1,152,0.531759
-84.95,152,0.563031
-72.694956,161,0.597875
-88.95,160,0.630525
-76.985714,168,0.663508
-70.520864,157,0.694
-70.45,156,0.725745
-79.6,157,0.756437
-78.5,157,0.788184
-72.45,156,0.819548
-65.150552,157,0.853023
-69.65,158,0.883815
-79.234899,160,0.915473
-74.757642,162,0.948927
-80.65,161,0.9806
-76.154106,165,1.012614
-68.785714,157,1.044532
-67.135714,161,1.07673
-68.085714,161,1.108252
-62.285714,149,1.138501
-70.65,155,1.17126
-75.7,156,1.202042
-65.25,158,1.233237
-81.3,164,1.268045
-64.599019,166,1.301741
-67.2,157,1.333249
-60.555614,160,1.366408
-71.6,157,1.398174
-71.25,158,1.430202
-72.835714,173,1.465777
-76.35,157,1.498958
-74.7,160,1.531768
-54.347533,157,1.577876
-75.05,157,1.615266
-70.5,154,1.647411
-73.8,160,1.683443
-73.05,150,1.714553
-61.838801,156,1.747744
-67.049478,163,1.784997
-72.072438,162,1.818808
-67.3,155,1.852498
-58.935714,150,1.8846
-68.141882,154,1.916472
-70.161666,162,1.949323
-58.271429,189,1.990299
-68.279656,166,2.024537
-60.435714,154,2.056998
-60.420076,158,2.09072
-73.9,157,2.122722
-73.1,163,2.156412
-64.035714,179,2.196554
-63.4,157,2.228776
-65.435714,161,2.262111
-63.801055,158,2.295741
-74.7,153,2.327812
-54.707212,165,2.36252
-66.235714,158,2.396852
-57.071429,151,2.428512
-61.935714,159,2.462334
-56.583801,162,2.499651
-59.385714,165,2.634539
-70.2,161,2.669072
-61.95,158,2.704099
-50.335714,152,2.740421
-60.919857,163,2.779094
-63.285714,200,2.823526
-66.4,151,2.855405
-58.335714,180,2.893242
-69.438397,162,2.929492
-64.035714,159,2.962996
-67.25,152,2.997087
-62.321429,183,3.036307
-46.707143,158,3.070001
-53.485714,161,3.103986
-59.971429,200,3.147404
-56.335714,163,3.181406
-65.921429,197,3.223203
-71.985714,168,3.26021
-60.521429,160,3.297663
