#{"t_start": 1764356390.566059, "env_id": "None"}
r,l,t
-66.221429,164,0.395036
-72.95,153,0.422844
-71.8,162,0.452049
-82.55,152,0.481109
-80.767522,163,0.511866
-72.846835,155,0.539161
-82.95,155,0.568237
-82.337403,154,0.596759
-72.260439,161,0.629341
-67.846856,160,0.658107
-84.4,157,0.687109
-84.6,156,0.715184
-77.6,157,0.744703
-89.35,158,0.773066
-80.45,155,0.801819
-72.611652,155,0.829607
-82.15,159,0.86015
-76.358472,148,0.889022
-94.55,152,0.916325
-87.95,154,0.943728
-76.495524,158,0.971532
-74.7,158,1.00071
-77.534936,159,1.030532
-81.8,154,1.057756
-80.7,158,1.08766
-87.95,160,1.11751
-85.55,160,1.147455
-72.028506,158,1.175853
-74.15,153,1.203828
-78.498283,161,1.233041
-72.95,163,1.263289
-79.65,154,1.291518
-74.95,152,1.322228
-74.625232,161,1.351782
-63.5,154,1.379436
-68.8,155,1.408215
-65.55,160,1.437833
-71.8,155,1.465417
-60.05,155,1.492786
-69.2,164,1.524239
-65.9,153,1.554089
-68.2,153,1.581452
-79.7,158,1.609832
-72.65,155,1.638558
-63.1,157,1.668147
-60.2,152,1.695495
-58.739034,160,1.723712
-67.55,156,1.752487
-62.335714,157,1.783545
-66.5,162,1.812956
-61.3,157,1.841997
-61.9,150,1.868684
-65.1,159,1.897084
-78.0,153,1.925393
-68.15,163,1.955628
-65.25,162,1.984359
-65.7,155,2.011975
-75.25,160,2.045229
-70.4,159,2.074176
-58.046088,161,2.102722
-70.1,161,2.131114
-70.2,167,2.163522
-67.55,150,2.190465
-63.202222,163,2.219435
-69.55,155,2.246851
-71.75,155,2.278767
-67.75,154,2.306322
-60.3,153,2.333751
-62.1,156,2.362421
-63.7,157,2.391099
-66.35,160,2.420929
-71.75,156,2.448435
-59.65,152,2.476627
-67.45,155,2.506556
-67.0,156,2.534551
-75.1,164,2.565026
-61.7,155,2.593953
-60.3,158,2.621979
-69.45,158,2.650133
-65.0,153,2.679253
-60.162662,156,2.707642
-70.25,158,2.737739
-65.6,164,2.767463
-70.8,158,2.798342
-66.2,159,2.826799
-67.7,160,2.855256
-70.6,158,2.883461
-63.25,160,2.914487
-73.95,158,2.942793
-70.75,159,2.97314
-67.75,153,3.001581
-70.1,155,3.029638
-70.45,159,3.059309
-65.7,159,3.087606
-63.85,156,3.116775
-64.8,150,3.144084
-61.9,153,3.172735
-62.95,155,3.218028
-61.25,154,3.24915
-65.9,159,3.27783
-63.9,163,3.306822
-71.75,159,3.337703
-64.65,151,3.364826
-67.8,160,3.393304
-61.95,162,3.422956
-63.9,159,3.454808
-69.25,160,3.483729
-69.7,159,3.512002
-65.5,159,3.541285
-72.65,153,3.57023
-65.4,154,3.597978
-65.7,159,3.627151
-63.8,158,3.655735
-59.4,155,3.683829
-64.1,161,3.716217
-63.95,164,3.746977
-58.1,165,3.7766
-64.35,153,3.804016
-62.55,165,3.835686
-67.3,156,3.864243
-54.418722,158,3.892771
-47.400055,160,3.921234
-63.4,155,3.953824
-64.85,164,3.983508
-60.15,158,4.011841
-67.95,159,4.039919
-54.409578,165,4.07206
-61.140192,160,4.10096
-62.7,154,4.128432
-60.2,152,4.1561
-67.0,157,4.188374
-59.335714,161,4.217048
-60.15,158,4.245004
-63.75,162,4.27485
-59.663059,160,4.304761
-58.7,159,4.332956
-56.373575,156,4.360608
-62.6,156,4.389577
-59.95,157,4.421393
-61.45,159,4.449435
-58.05,153,4.477576
-58.85,150,4.504719
-58.2,157,4.532692
-60.7,159,4.562381
-50.885714,200,4.598837
-63.45,156,4.626795
-58.25,163,4.659846
-57.85,153,4.688645
-56.85,159,4.717632
-63.85,157,4.745867
-59.7,160,4.775833
-61.15,159,4.805544
-63.5,164,4.835083
-63.1,157,4.863163
-63.1,161,4.896419
-60.15,154,4.9244
-63.45,160,4.953127
-60.0,161,4.981819
-54.45,151,5.010143
-55.1,155,5.039563
-53.784733,162,5.068498
-58.55,164,5.097522
-58.2,155,5.12822
-57.15,163,5.15904
-63.25,156,5.186984
-57.65,159,5.216386
-59.4,162,5.245342
-59.05,157,5.274783
-61.2,160,5.303087
-59.7,154,5.331832
-54.1,153,5.361493
-57.85,152,5.388864
-55.55,158,5.418752
-60.5,154,5.44752
-67.8,159,5.476014
-61.5,162,5.505193
-50.24637,163,5.536723
-56.4,155,5.564753
-48.620305,155,5.594746
-60.2,158,5.623282
-57.45,156,5.653848
-57.7,156,5.681756
-55.1,149,5.708326
-56.923198,163,5.73829
-53.446754,162,5.769065
-61.2,160,5.798111
-60.15,160,5.830149
-55.9,155,5.860784
-60.95,153,5.889534
-51.016721,161,5.920233
-55.95,160,5.95002
-61.8,161,5.979934
-52.90871,159,6.008729
-61.95,157,6.038359
-58.35,162,6.07064
