#{"t_start": 1764358303.261941, "env_id": "None"}
r,l,t
-74.3,152,0.503974
-63.524722,152,0.531304
-74.921429,190,0.565323
-76.704471,163,0.596028
-82.13357,163,0.625046
-75.3,160,0.65345
-68.714784,158,0.681463
-70.34364,161,0.711202
-71.535714,161,0.739608
-75.556283,163,0.76817
-82.25,160,0.797126
-70.658309,160,0.825205
-92.5,159,1.157168
-74.979776,167,1.186994
-75.55382,159,1.216695
-79.75,158,1.244768
-79.136538,159,1.273094
-68.185714,152,1.300374
-74.804935,157,1.329686
-88.6,160,1.358044
-68.313624,163,1.38749
-70.326357,163,1.416195
-77.063426,167,1.446863
-72.085714,157,1.474774
-84.55,162,1.5039
-75.247888,154,1.824114
-86.7,163,1.854577
-73.984534,163,1.883891
-74.416027,156,1.911765
-79.9,162,1.940776
-76.613892,165,1.971466
-67.777338,159,1.999847
-70.935714,156,2.027435
-61.053104,163,2.058273
-68.99601,190,2.094331
-76.369375,161,2.124789
-77.339683,155,2.158397
-64.878206,151,2.189003
-63.435714,167,2.531542
-74.888255,162,2.560652
-59.985714,161,2.590474
-65.635714,159,2.618588
-79.25,157,2.646299
-65.285714,183,2.678886
-71.283664,165,2.709673
-76.15,152,2.736483
-80.85,154,2.764082
-76.3,155,2.792729
-78.2,152,2.823286
-73.2,158,2.854099
-82.764549,164,3.219336
-74.2,154,3.24673
-68.585714,160,3.274944
-77.8,157,3.302548
-58.285714,154,3.33128
-65.535714,165,3.360589
-73.035714,161,3.389463
-70.2,154,3.416855
-68.385714,168,3.447829
-63.371429,165,3.47691
-64.171429,161,3.505249
-62.335714,157,3.534276
-61.536792,159,3.56216
-67.79823,164,3.881795
-64.717969,155,3.90999
-64.624638,160,3.938849
-71.95,166,3.970167
-66.978104,160,3.99872
-57.985714,162,4.027306
-68.422162,165,4.057822
-67.785714,154,4.085409
-58.935714,165,4.114556
-50.071429,158,4.142455
-61.035714,154,4.170869
-61.735714,165,4.199974
-63.985714,161,4.229056
-56.230878,165,4.548661
-56.143769,164,4.577746
-58.771429,168,4.60934
-54.471429,161,4.638348
-72.9,153,4.665486
-69.985714,160,4.695137
-67.235714,161,4.723861
-58.835714,153,4.751498
-58.835714,160,4.780789
-54.171429,155,4.810045
-62.585714,155,4.838314
-56.935714,161,4.867484
-64.085714,173,4.899747
-62.785714,163,5.218366
-49.621429,157,5.247042
-54.057143,194,5.281512
-56.271429,169,5.311395
-52.985714,155,5.340574
-77.0,159,5.369752
-53.171429,158,5.397867
-52.221429,165,5.428066
-55.285714,165,5.458184
-63.035714,168,5.487981
-53.885714,156,5.515637
-46.921429,163,5.545808
-56.335714,165,5.866638
-50.771429,161,5.895401
-50.221429,163,5.924588
-54.785714,157,5.953314
-66.33333,153,5.981634
-52.535714,160,6.010559
-55.235714,159,6.038586
-54.521429,176,6.070899
-58.685714,163,6.100146
-64.023565,159,6.129017
-53.471429,167,6.159228
-62.485714,169,6.19036
-61.335714,163,6.2195
-47.721429,153,6.537389
-50.971429,163,6.566248
-61.285714,159,6.595971
-52.485714,166,6.626109
-52.490585,158,6.654675
-47.971429,165,6.684117
-50.871429,161,6.714017
-51.671429,157,6.742016
-54.121429,161,6.770869
-56.771429,155,6.799474
-53.021429,164,6.82927
-49.071429,157,6.857335
-51.635714,159,6.885406
-53.335714,162,7.210346
-43.372551,163,7.241044
-48.271429,160,7.270017
-52.386545,158,7.298019
-52.885714,159,7.327026
-47.335714,163,7.356157
-44.121429,159,7.384604
-56.471429,161,7.413342
-48.121429,166,7.44425
-55.085714,158,7.472054
-52.885714,158,7.500365
-55.371429,163,7.529299
-62.885714,160,7.849217
-40.921429,160,7.878965
-48.521429,156,7.907286
-49.659912,155,7.935519
-50.585714,158,7.964968
-53.585714,163,7.994108
-53.385714,152,8.022429
-43.721429,163,8.052353
-44.971429,159,8.100377
-49.985714,163,8.133437
-41.471429,159,8.161695
-47.671429,162,8.192525
-45.521429,164,8.222299
-50.321429,166,8.543501
-47.985714,156,8.57111
-45.571429,158,8.600696
-48.071429,154,8.628985
-42.530002,159,8.657654
-49.221429,156,8.685607
-44.471429,156,8.714505
-47.371429,165,8.744266
-44.785714,159,8.773136
-44.257143,160,8.803013
-42.221429,159,8.831568
-47.921429,159,8.859881
-45.735714,158,8.887879
-46.871429,160,9.208098
-47.571429,162,9.238653
-47.935714,157,9.266618
-50.721429,164,9.295649
-49.285714,166,9.325763
-49.171429,163,9.355514
-41.871429,157,9.383363
-48.621429,160,9.411618
-37.221429,161,9.441348
-50.521429,157,9.469365
-46.571429,158,9.497322
-42.671429,168,9.527105
-48.371429,153,9.555684
-39.021429,157,9.874082
-42.821429,159,9.902633
-55.885714,156,9.93037
-45.071429,157,9.959065
-47.135714,165,9.988913
-43.271429,159,10.017286
-36.871429,154,10.044421
-40.771429,159,10.073669
-43.921429,159,10.102014
-43.521429,153,10.129201
-48.521429,164,10.158293
-39.471429,155,10.187167
-50.521429,162,10.215815
-37.521429,156,10.582675
-41.171429,158,10.612329
-42.171429,155,10.640111
-37.321429,153,10.667714
-42.271429,158,10.697115
-36.321429,163,10.726479
-37.121429,162,10.755437
-46.971429,156,10.783554
-45.435714,161,10.81354
-41.321429,159,10.841827
-36.021429,157,10.869712
-42.471429,155,10.897013
-34.971429,155,10.925834
-39.771429,159,11.282043
-39.721429,158,11.310148
-40.721429,159,11.339568
-52.871429,163,11.369082
-43.371429,158,11.397252
-39.371429,159,11.425505
-38.771429,156,11.454593
-41.671429,165,11.484036
-42.921429,158,11.512092
