#{"t_start": 1764075558.2392619, "env_id": "None"}
r,l,t
-77.319964,156,0.503364
-69.6,157,0.535122
-77.2,149,0.572732
-82.5,161,0.614069
-73.755459,162,0.650264
-72.75,154,0.682064
-74.0,161,0.720523
-71.25288,160,0.755201
-72.686714,167,0.794199
-74.65,154,0.829073
-81.45,160,0.867014
-61.085714,164,0.945257
-72.491825,159,1.010973
-66.071429,200,1.065926
-75.691971,156,1.107716
-72.7,155,1.147865
-69.7,149,1.180353
-77.05,154,1.223178
-65.483059,158,1.257213
-76.75,162,1.303805
-62.771353,194,1.350259
-69.341031,161,1.392398
-66.351754,156,1.438356
-71.020684,158,1.472053
-68.341017,161,1.510125
-77.1,154,1.542844
-76.22243,157,1.581791
-77.4,159,1.614373
-73.15,151,1.648102
-80.0,158,1.681845
-61.385714,171,1.729511
-75.3,150,1.759857
-73.428475,154,1.790959
-60.421429,156,1.821774
-67.6,158,1.854146
-76.089312,165,1.887451
-65.990408,157,1.918477
-60.035714,152,1.94885
-72.085714,159,1.981766
-75.971429,188,2.01925
-62.435714,152,2.05308
-69.135714,162,2.086264
-69.3,157,2.117227
-64.285714,158,2.149237
-66.635714,162,2.183137
-84.8,157,2.214448
-76.45,153,2.244483
-58.185714,168,2.278954
-62.985714,188,2.316781
-62.835714,155,2.348348
-71.8,157,2.382675
-76.1,158,2.415012
-68.335714,200,2.460723
-60.435714,165,2.505057
-77.05,156,2.550023
-66.478945,158,2.586815
-68.598676,160,2.620979
-63.621429,200,2.673598
-75.8,164,2.709854
-75.9,161,2.742158
-59.793895,163,2.777265
-66.2,161,2.811504
-66.921429,181,2.848678
-66.15185,156,2.88042
-68.671429,189,2.919604
-66.135714,154,2.95054
-66.751522,165,2.984675
-60.471429,174,3.022743
-76.4,159,3.056828
-71.508653,195,3.096797
-66.435714,161,3.134501
-62.471429,158,3.167487
-67.938209,169,3.20399
-70.05,155,3.236178
-60.835714,159,3.268636
-56.271429,156,3.299944
-67.835714,166,3.335401
-56.535714,159,3.368011
-65.621429,173,3.404385
-76.25,154,3.436642
-67.221429,200,3.479566
-59.571429,188,3.518374
-69.035714,171,3.554178
-64.685714,160,3.587012
-69.005139,166,3.620487
-56.885714,161,3.654907
-68.1,158,3.68713
-66.171761,154,3.71832
-59.321429,188,3.758423
-64.635714,169,3.793301
-64.321429,178,3.831835
-65.8,152,3.864452
-60.335714,161,3.898234
-59.835714,166,3.931986
-59.685714,151,3.964401
-64.121429,200,4.006255
-65.885714,157,4.038005
-57.971429,163,4.072727
-70.350923,157,4.105112
-63.821429,193,4.144237
-58.121429,200,4.188687
-58.735714,160,4.222244
-56.921429,162,4.255762
-54.235714,162,4.290227
-56.821429,165,4.325522
-65.635714,163,4.358427
-63.171429,200,4.401038
-57.421429,179,4.438258
-56.22813,162,4.471879
-62.235714,154,4.504929
-63.035714,155,4.539444
-62.121429,200,4.581098
-63.821429,200,4.624371
-57.785714,164,4.658483
-56.434231,158,4.690528
-51.335714,153,4.724189
-54.635714,167,4.758763
-56.471429,168,4.793198
-57.285714,154,4.826896
-55.03721,161,4.860145
-61.921429,197,4.903352
-61.885714,156,4.937305
-52.42004,160,4.970256
-54.703449,160,5.003537
-54.935714,170,5.040747
-57.185714,164,5.07539
-53.235714,167,5.151881
-56.371429,168,5.187343
-54.865324,155,5.219168
-56.921429,172,5.256803
-61.721429,189,5.298693
-62.835714,175,5.336049
-60.735714,154,5.368698
-59.886605,153,5.400726
-58.811153,161,5.434099
-58.369809,158,5.468437
-56.844651,156,5.501069
-52.221429,161,5.53476
-55.735714,165,5.570393
-51.035714,162,5.604647
-58.735714,172,5.642473
-63.171429,179,5.68148
-60.035714,165,5.715868
-57.532055,155,5.748153
-58.030676,168,5.785214
-54.685714,166,5.81986
-66.085714,154,5.851549
-61.056849,157,5.885314
-53.545114,165,5.919974
-56.921429,169,5.955183
-43.821429,159,5.991452
-57.671429,180,6.029674
-55.938283,165,6.065396
-53.785714,159,6.099691
-52.529415,154,6.132402
-52.635714,160,6.165767
-53.621835,157,6.200248
-61.547414,171,6.236502
-64.609064,162,6.269965
-53.642925,162,6.305633
-56.9862,161,6.343159
-60.731389,155,6.376386
-53.821429,159,6.411413
-67.250552,154,6.444254
-56.621429,163,6.478875
-58.021429,172,6.516574
-60.221429,186,6.555985
-59.635714,161,6.590596
-61.110028,155,6.623962
-53.294768,155,6.657083
-61.071429,181,6.699299
-66.753442,194,6.741084
-58.835714,171,6.777077
-56.339093,156,6.811216
-56.852666,163,6.845951
-55.321429,160,6.880172
-58.521429,164,6.915718
-56.535973,168,6.951493
-53.621429,168,6.987424
-54.935714,158,7.022711
-56.999578,160,7.059435
-58.035714,157,7.09276
-60.635714,159,7.128142
-61.171429,176,7.165534
-56.750032,157,7.199191
-62.784443,160,7.234364
-54.271429,171,7.271223
-51.29275,162,7.305712
-63.285714,166,7.343443
-63.321429,192,7.384648
-60.174538,163,7.422052
-59.435714,200,7.465686
-58.275324,168,7.50172
-55.021429,179,7.542296
-54.757143,186,7.583392
-65.083179,161,7.617584
-49.585714,163,7.65404
-53.081436,160,7.689165
-68.171429,176,7.727007
-50.824504,163,7.763364
-46.507143,156,7.799867
-58.885714,164,7.835544
-57.785714,159,7.871286
-59.166389,175,7.908317
-54.943874,160,7.944306
-55.421429,168,7.981586
-50.402554,163,8.01719
-55.110868,160,8.053372
-50.607143,166,8.089776
-57.235714,172,8.127009
-53.871429,167,8.167021
-56.971429,161,8.201757
-58.785714,167,8.238161
-54.388826,162,8.275329
-58.571429,200,8.319401
-53.771429,170,8.356666
-49.471429,161,8.39443
-57.221429,182,8.435122
-64.278078,157,8.469824
-48.685714,161,8.505952
-55.665584,189,8.549876
-55.671429,187,8.591228
-60.585714,162,8.627876
-51.121429,162,8.663818
-52.836546,160,8.699914
-58.885714,173,8.737602
-53.178633,177,8.777088
-56.535714,159,8.813474
-57.321429,166,8.849651
-51.271429,163,8.885699
-48.029876,158,8.923613
-51.021429,158,8.958679
-51.921429,182,9.000284
-58.285714,159,9.036315
-50.882846,157,9.070175
-55.971429,199,9.116148
-51.199042,166,9.152156
-50.221429,159,9.186877
-54.075353,161,9.223313
-47.678336,160,9.259023
-47.43161,157,9.296951
-51.771429,160,9.333481
-53.651059,160,9.368773
-52.466611,149,9.401362
-54.957143,194,9.445345
-49.571429,157,9.480451
-54.178544,163,9.516372
-52.50124,162,9.554881
-52.885714,155,9.58971
-57.02846,156,9.624624
-49.72447,159,9.662516
-46.571429,155,9.697239
-55.257143,195,9.741452
-58.702524,166,9.778754
-60.610463,198,9.823636
-52.257143,200,9.869241
-60.835714,165,9.905799
-51.821429,160,9.941476
-54.921429,200,9.986914
-52.971429,165,10.023697
-53.892594,165,10.063406
-59.417824,156,10.097955
-52.171429,163,10.134065
-55.115527,153,10.169531
-56.221429,188,10.211668
-48.221429,156,10.246753
-58.294541,157,10.282497
-55.221429,175,10.3214
-44.957143,158,10.356597
-46.308893,159,10.393276
-54.571429,185,10.437079
-49.557143,191,10.482648
-50.757143,188,10.524822
-38.321429,154,10.559485
-52.007143,194,10.604907
-53.28078,193,10.647614
-45.957143,158,10.683593
-46.707143,170,10.722744
-51.97422,166,10.759767
-45.904166,153,10.793964
-51.257143,194,10.839261
-47.589892,152,10.873347
-46.807143,160,10.910725
-53.172166,168,10.948967
-47.921429,160,10.984913
-44.877639,149,11.020155
-52.27235,196,11.06456
-49.244764,152,11.098904
-46.707143,196,11.14512
-41.907143,161,11.181788
-48.157143,179,11.226432
-49.007143,180,11.306563
-52.635714,200,11.354846
-46.895284,154,11.389995
-48.731095,161,11.433149
-42.226102,162,11.470614
-43.107143,157,11.506353
-52.435714,163,11.544452
-57.921429,188,11.587039
-44.871429,161,11.622977
-47.381074,155,11.661403
-45.371429,159,11.697837
-51.335714,168,11.736082
-47.621429,161,11.773516
-48.507143,184,11.815357
-43.371429,161,11.852316
-52.330529,189,11.896054
-44.207143,170,11.934828
-49.007143,166,11.972772
-53.807143,181,12.01391
-46.321429,158,12.05233
-50.921429,189,12.096849
-55.771429,188,12.140331
-47.762648,190,12.185793
-45.271429,163,12.223955
-50.352524,187,12.26595
-53.321429,190,12.310568
-48.357143,189,12.354258
-55.535714,167,12.393297
-49.735714,159,12.430609
-48.307143,187,12.475107
-41.957143,158,12.513599
-50.766181,187,12.556684
-46.042171,153,12.592532
-43.957143,156,12.628781
-52.605937,163,12.665854
-55.371429,193,12.710864
-54.921429,190,12.754283
-45.807143,187,12.799093
-44.407143,166,12.838957
-49.264136,186,12.884081
-56.935714,160,12.921192
-50.821429,185,12.963517
-48.907143,182,13.005171
-50.171429,193,13.051007
-54.915225,187,13.094232
-59.671429,198,13.139743
-55.723025,195,13.184591
-52.671429,193,13.230243
-55.171429,194,13.275329
-57.537861,165,13.315905
-52.021429,190,13.362314
-48.207143,188,13.406661
-53.071429,200,13.454334
-45.992857,193,13.498182
-56.342475,188,13.542913
-47.221429,200,13.589187
-53.921429,191,13.633478
-51.137178,156,13.670415
-49.371429,200,13.71742
-48.821429,200,13.767808
-44.871429,161,13.805149
-54.745042,195,13.851395
-56.521429,189,13.895587
-50.601089,190,13.939827
-49.171429,200,13.987685
-52.471429,200,14.03345
-50.547785,183,14.077291
-42.788668,157,14.114254
-45.103848,181,14.156311
-39.715548,200,14.231673
-43.207143,169,14.272323
-52.771429,194,14.318362
-51.492789,184,14.361598
-48.171429,177,14.404766
-44.957143,181,14.446696
-44.957143,166,14.485909
-43.588766,155,14.522955
-50.576845,198,14.569753
-51.407143,189,14.614738
-52.116077,187,14.660638
-51.853329,198,14.70794
-49.571429,195,14.754949
-46.007143,184,14.798352
-51.87635,189,14.842943
-51.207143,200,14.889607
-44.521429,200,14.937467
-50.361537,188,14.982132
-48.957143,196,15.02954
-52.871429,191,15.074209
-44.321429,200,15.124775
-46.776015,182,15.167124
-45.607143,181,15.210225
-52.771429,195,15.257232
-48.857143,190,15.302553
-46.757143,190,15.348431
-46.621429,200,15.395086
-46.707143,185,15.440235
-48.907143,192,15.48594
-53.657143,196,15.531252
-48.512094,200,15.581966
-46.807143,196,15.628094
-37.889453,161,15.667654
-44.957143,187,15.712464
-45.957143,181,15.756066
-42.657143,194,15.804722
-50.357143,192,15.850194
-58.071429,182,15.895389
-42.771876,187,15.9403
-43.807143,186,15.9849
-45.657143,189,16.03176
-54.100187,158,16.070302
-47.057143,188,16.115329
-42.607143,186,16.159946
-45.657143,178,16.203611
-46.642857,188,16.247843
-43.521429,163,16.288097
-38.742857,179,16.330615
-47.221429,168,16.370471
-46.707143,186,16.416831
-61.885714,189,16.46434
-43.407143,184,16.509438
-36.840534,164,16.548521
-40.957143,191,16.595107
-48.757143,165,16.634807
-39.570008,166,16.674666
-40.207143,183,16.719236
-46.742857,193,16.765727
-40.807143,166,16.80613
-41.257143,157,16.843447
-42.882695,160,16.884153
-46.807143,197,16.932891
-43.907143,183,16.975893
-38.407143,186,17.02159
-37.507143,166,17.06241
-46.892857,182,17.106228
-39.457143,154,17.144305
-46.421429,155,17.181791
-38.957143,155,17.218804
-50.907143,184,17.264541
-39.007143,154,17.303696
-41.857143,184,17.34911
-35.792857,185,17.394639
-42.780657,150,17.430177
-40.707143,160,17.469923
-42.707143,164,17.509055
-42.957143,173,17.550782
-39.523506,161,17.590291
-45.207143,184,17.634284
-34.978548,153,17.672334
-40.971429,157,17.713364
-39.131615,158,17.752537
-39.421138,168,17.79347
-57.992857,189,17.839858
-42.421429,162,17.880256
-47.821429,163,17.920861
-40.357143,184,17.966002
-37.507143,161,18.005309
-37.207143,165,18.045875
-44.821429,200,18.096126
-42.507143,182,18.142855
-11.792857,159,18.18318
-39.207143,161,18.222419
-39.957484,156,18.260001
-31.907143,200,18.309045
-39.416208,165,18.349472
-31.784595,165,18.391921
-38.607143,191,18.439796
-32.807143,160,18.478925
-39.357143,163,18.520061
-31.170557,159,18.561627
-36.5646,163,18.602166
-37.034469,161,18.64261
-47.801814,164,18.682575
-34.616208,167,18.724859
-37.986806,149,18.761503
-36.157143,162,18.801038
-36.707143,158,18.841139
-40.518733,150,18.877594
-38.128804,160,18.917446
-31.09445,159,18.959513
-38.771429,157,18.997562
-37.265737,161,19.038297
-35.069887,183,19.086879
-36.85691,157,19.143224
-38.754511,163,19.190438
-32.8717,165,19.232428
-39.963816,167,19.273617
-34.76978,162,19.313829
-34.200487,167,19.356175
-29.007143,200,19.408248
-38.371429,165,19.449199
-26.497745,200,19.498583
-34.103636,160,19.538166
-28.447729,190,19.586407
-35.375138,193,19.634161
-42.079778,168,19.677507
-32.785815,164,19.717882
-31.048299,158,19.756861
-26.151206,200,19.80714
-37.334667,157,19.848132
-29.957143,200,19.898381
-30.778071,159,19.938089
-33.521429,200,19.988688
-32.981579,158,20.028073
-24.16162,166,20.070086
-26.257143,200,20.12035
-42.421429,165,20.161157
-46.175458,164,20.203166
-32.005532,161,20.243413
-35.157143,156,20.284991
-35.279229,163,20.325498
-43.85912,158,20.365524
-63.032939,163,20.407612
-42.521828,162,20.447935
-27.607143,197,20.497071
-25.657143,200,20.54724
-36.757143,197,20.596571
-24.807143,200,20.647839
-30.007143,155,20.686589
-31.058885,160,20.730435
-30.184805,162,20.771306
-27.807143,200,20.822087
-25.334983,200,20.871968
-30.416084,161,20.911916
-26.307143,200,20.963618
-35.221429,177,21.00747
-36.807143,161,21.049202
-26.734691,195,21.097443
-25.757143,200,21.148555
-31.421097,160,21.190925
-28.668106,162,21.232621
-41.321429,169,21.275215
-25.147871,192,21.32362
-29.950169,166,21.366807
-23.638742,200,21.416827
-24.279352,200,21.468766
-44.76336,164,21.509907
-26.866807,160,21.550421
-26.932889,153,21.58966
-24.514202,160,21.632218
-24.267567,160,21.674082
-20.78468,192,21.722094
-26.517535,161,21.763114
-26.473362,163,21.804491
-20.975309,200,21.854592
-25.842472,183,21.901991
-9.835828,200,21.952591
-21.021035,200,22.004186
-10.204125,200,22.054164
-22.923489,200,22.108073
-23.252409,173,22.151767
-28.772152,186,22.199384
-11.466907,200,22.249844
-25.772606,172,22.293648
-22.017318,200,22.344047
-31.360286,158,22.384127
-22.707143,192,22.433487
-10.969135,200,22.484396
-9.994321,200,22.536194
-27.605332,197,22.587786
-43.095417,191,22.637347
-69.671429,169,22.679792
-34.504686,200,22.73228
-10.221526,200,22.783095
-16.154082,200,22.834414
-24.806364,177,22.878511
-15.328703,200,22.929924
-28.329377,186,23.002618
-26.595225,200,23.05422
-34.361437,185,23.103345
-17.508603,200,23.154516
-23.555854,166,23.196339
-25.625586,190,23.244523
-54.988587,157,23.283841
-31.895542,167,23.325663
-25.349591,173,23.369994
-26.425006,189,23.419415
-22.478378,189,23.468001
-32.8716,190,23.515734
-22.284909,200,23.569114
-27.635808,157,23.609078
-27.451534,200,23.658778
-20.614305,200,23.710364
-23.101122,200,23.760437
-26.500246,181,23.806933
-22.778859,166,23.848488
-29.063682,177,23.893962
-41.285986,200,23.944319
-25.136417,200,23.995365
-28.837432,173,24.041181
-45.806855,187,24.089458
-18.053644,200,24.139418
-18.576981,200,24.190231
-21.20852,200,24.240392
-33.576306,160,24.28061
-31.749844,157,24.320799
-28.640393,160,24.361036
-32.935385,163,24.402948
-27.733589,160,24.44335
-21.662799,200,24.494881
-22.068506,200,24.546656
-30.140542,168,24.589164
-24.247777,200,24.640259
-32.44128,164,24.681221
-20.772668,200,24.732505
-19.701221,200,24.782825
-24.829605,200,24.8338
-35.545047,159,24.87358
-33.885083,158,24.91315
-26.999956,200,24.966806
-28.605861,153,25.005296
-32.094215,156,25.045671
-36.421953,156,25.085066
-34.128258,158,25.124849
-35.985601,167,25.167415
-33.985397,158,25.206686
-29.945859,159,25.247113
-28.99388,160,25.288251
-33.234186,162,25.328341
-30.234097,161,25.372347
-27.96638,162,25.413853
-34.804988,164,25.45606
-68.175404,151,25.494692
-32.867412,156,25.533745
-33.738329,158,25.574305
-29.098904,155,25.613576
-23.773572,200,25.664513
-26.231786,200,25.715051
-23.810074,200,25.765276
-30.187893,160,25.808578
-33.544025,159,25.848965
-24.359644,200,25.900296
-28.30514,200,25.95051
-21.164356,200,26.00143
-29.0835,200,26.050923
-26.498381,200,26.102432
-31.433349,161,26.142667
-20.371266,200,26.193321
-41.233057,158,26.232889
-26.709634,200,26.284441
-25.111072,200,26.335932
-22.673526,200,26.386435
-25.678211,200,26.43779
-30.010575,159,26.477832
-21.858327,200,26.529547
-22.378546,200,26.579789
-28.069655,200,26.631275
-35.885967,200,26.681254
-23.759589,200,26.732677
-30.154009,200,26.78476
-35.625276,200,26.836466
-30.189843,147,26.873518
-56.676957,200,26.924653
-25.874754,200,26.975028
-23.110544,200,27.026078
-22.144605,200,27.076393
-30.075817,200,27.127425
-24.026043,200,27.177546
-35.718313,200,27.227368
-21.166757,200,27.280982
-46.004959,200,27.332526
-29.200322,200,27.382962
-38.500806,200,27.43288
-27.623248,200,27.484393
-25.992599,200,27.534269
-48.307143,159,27.57564
-86.457143,163,27.616468
-42.195404,200,27.667967
-19.700272,200,27.718204
-26.74345,200,27.771774
-26.632172,200,27.821678
-27.511578,200,27.876413
-27.69679,200,27.931471
-20.664036,200,27.983114
-46.271429,164,28.040686
-20.968967,200,28.101725
-25.363605,200,28.152412
-21.692832,200,28.204276
-20.563276,200,28.254729
-26.420392,200,28.308801
-17.530536,200,28.359233
-28.27441,200,28.412695
-33.733266,185,28.462512
-13.820397,200,28.517019
-21.404965,200,28.567186
-22.19661,200,28.618888
-19.562277,200,28.669432
-33.907143,159,28.710434
-20.189609,200,28.760471
-33.192857,187,28.810942
-38.507143,185,28.856967
-18.137708,200,28.908785
-25.269781,200,28.95927
-36.124312,188,29.007287
-29.576232,200,29.057853
-24.142557,200,29.109197
-34.292155,187,29.156769
-29.974065,186,29.203759
-19.262747,200,29.25527
-18.022847,200,29.30779
-42.280142,183,29.354876
-5.478837,200,29.404561
-19.857725,200,29.456212
-25.19865,200,29.5064
-17.088513,200,29.558118
-14.848998,200,29.608322
-28.7575,188,29.656997
-18.021948,200,29.707605
-59.557143,200,29.759217
-9.690828,200,29.812224
-19.004524,200,29.863898
-19.677515,200,29.913828
-15.006166,200,29.965882
-21.373936,200,30.015818
-18.655833,200,30.06712
-16.580267,200,30.117362
-40.561035,200,30.168829
-16.042091,200,30.219036
-22.149428,200,30.269995
-19.728801,200,30.322366
-14.365958,200,30.373783
-16.794364,200,30.424591
-14.39791,200,30.476509
-17.151428,200,30.527122
-25.312747,200,30.578748
-21.957333,200,30.629264
