#{"t_start": 1764357326.435037, "env_id": "None"}
r,l,t
-67.797054,152,0.497018
-76.2,152,0.523969
-78.552991,163,0.552598
-64.799442,157,0.58186
-82.136548,170,0.612533
-67.154739,154,0.640013
-75.65,156,0.727836
-83.2,154,0.755401
-72.595058,161,0.784931
-60.835714,171,0.815657
-69.685714,174,0.84662
-74.438248,164,0.875673
-76.55,151,0.956707
-83.25,162,0.988492
-73.55,155,1.018049
-77.653736,159,1.046863
-80.1,158,1.076048
-57.693722,161,1.106443
-76.322692,158,1.134933
-75.6,155,1.211366
-63.785714,180,1.243528
-59.366095,164,1.272407
-71.285714,200,1.307553
-72.85,157,1.336652
-65.030937,200,1.372698
-64.035714,163,1.450127
-79.25,165,1.479476
-67.3,151,1.506091
-71.75,158,1.535098
-76.45,161,1.563812
-65.6,159,1.592216
-68.390503,151,1.668367
-56.575639,166,1.698108
-56.667444,161,1.726845
-70.971429,195,1.762397
-63.371429,162,1.790909
-72.237545,160,1.818931
-65.135976,157,1.894249
-55.044377,166,1.923829
-68.7,157,1.952456
-66.51672,166,1.982837
-70.859529,167,2.012996
-57.485714,158,2.041368
-59.236322,160,2.117931
-72.4,160,2.1465
-59.214469,200,2.1831
-56.985714,166,2.212594
-63.619133,165,2.241906
-69.0,154,2.269762
-68.15,155,2.297008
-72.6,156,2.372355
-67.75,155,2.400473
-63.365381,156,2.428489
-62.25,155,2.456365
-71.1,154,2.484691
-60.635714,159,2.512943
-61.689958,159,2.589079
-76.95,156,2.616379
-54.135714,159,2.64403
-57.235714,167,2.67317
-59.235714,164,2.703147
-67.15,154,2.730859
-53.411417,157,2.758944
-58.535714,155,2.836793
-64.65,154,2.86381
-60.067408,160,2.891657
-50.653823,166,2.922134
-51.835714,159,2.950578
-67.0,159,2.978989
-59.885714,160,3.055137
-58.85411,166,3.08428
-62.0,156,3.112213
-59.45,165,3.141837
-46.535714,153,3.169304
-64.85,163,3.198492
-57.035714,158,3.27392
-68.4,153,3.301421
-48.171429,167,3.332431
-65.3,164,3.361649
-51.571429,178,3.393356
-55.093564,160,3.421668
-56.185714,161,3.451399
-64.2,153,3.525377
-52.218722,167,3.555893
-61.55,156,3.58365
-69.0,152,3.610736
-58.6,160,3.63997
-51.885714,162,3.669912
-56.385971,154,3.748485
-58.065339,161,3.778049
-62.452756,166,3.807979
-59.747585,162,3.837415
-45.485714,152,3.865454
-48.650602,165,3.894931
-55.835714,160,3.923331
-69.05,164,4.000629
-52.569394,167,4.029789
-64.6,157,4.05722
-59.390431,161,4.087207
-70.8,158,4.115518
-54.546966,195,4.150286
-54.238055,157,4.231734
-62.6,154,4.261943
-60.95,160,4.292718
-61.95,159,4.322235
-62.15,159,4.35135
-58.221429,192,4.386705
-61.7,152,4.462526
-49.671429,158,4.493016
-61.85,153,4.521092
-55.196967,157,4.549042
-50.958757,168,4.578771
-58.9,161,4.608202
-54.130774,165,4.684967
-39.871429,167,4.716245
-63.0,159,4.744739
-57.861386,162,4.773797
-48.028187,161,4.803506
-54.561974,167,4.834257
-61.8,152,4.861718
-60.15,159,4.94207
-45.606103,168,4.972501
-47.474945,160,5.001115
-53.191271,160,5.030591
-62.95,156,5.05801
-64.95,157,5.08552
-62.65,155,5.163257
-59.95,157,5.19161
-65.55,161,5.221539
-60.15,162,5.251174
-62.0,155,5.280146
-64.2,159,5.309484
-53.835714,165,5.340124
-61.8,161,5.416102
-59.108298,165,5.447042
-58.35,152,5.475182
-65.5,153,5.50243
-50.532436,157,5.529963
-56.314924,157,5.558951
-52.546673,152,5.633862
-45.471429,162,5.664102
-51.235714,151,5.691752
-61.8,159,5.72122
-50.771429,163,5.751665
-58.65,159,5.779873
-64.8,153,5.806853
-55.637462,154,5.882719
-61.7,163,5.912084
-62.8,162,5.941046
-54.259055,153,5.969699
-57.071005,164,5.999138
-53.835714,160,6.02762
-58.802527,162,6.104305
-54.855676,152,6.131496
-48.883593,186,6.164765
-58.6,156,6.193698
