#{"t_start": 1764357488.778146, "env_id": "None"}
r,l,t
-68.937097,156,0.514119
-77.9,157,0.542107
-84.75,149,0.568396
-72.9,161,0.59841
-68.32475,172,0.630013
-70.701643,158,0.658198
-71.085714,157,0.686153
-60.313245,153,0.714406
-62.821429,159,0.742628
-76.05,148,0.768551
-66.423798,200,0.80459
-74.35,156,0.83185
-74.45,146,0.857392
-81.5,157,0.8848
-84.775094,161,0.913707
-74.2,163,0.942098
-79.65,160,0.969776
-69.099365,161,0.99776
-73.05,157,1.025916
-69.179752,153,1.052474
-87.6,161,1.080262
-76.334418,167,1.109081
-67.371429,177,1.141154
-64.667432,153,1.167986
-74.8,151,1.19439
-73.121917,161,1.549165
-73.2,147,1.575686
-61.600434,165,1.604975
-58.106331,161,1.634284
-75.0,157,1.663157
-62.685714,162,1.692071
-58.285714,163,1.721132
-66.111642,162,1.749876
-67.885714,169,1.780697
-68.435714,200,1.816266
-84.35,157,1.843929
-70.471429,200,1.880325
-72.8,163,1.909225
-58.421429,162,1.937996
-63.785714,156,1.966569
-63.185714,165,1.996202
-68.271429,200,2.032376
-65.732613,160,2.06118
-69.996166,163,2.092529
-74.5,153,2.119689
-67.1,154,2.14674
-76.3,155,2.173839
-59.171429,165,2.20408
-76.3,163,2.233131
-68.85,155,2.260711
-72.9,160,2.600445
-66.2,150,2.628393
-67.121429,200,2.663941
-64.144035,164,2.693219
-66.880291,156,2.722093
-73.985714,179,2.753982
-72.410657,154,2.781168
-63.085714,162,2.809916
-78.8,155,2.838231
-87.15,159,2.867159
-75.285714,200,2.902633
-64.641817,156,2.931243
-67.194701,157,2.959076
-71.471429,200,2.994424
-70.873745,157,3.022104
-79.75,159,3.051153
-63.721429,200,3.086559
-72.385714,159,3.114558
-70.31511,162,3.143847
-64.16206,151,3.170443
-69.728354,161,3.198706
-59.965546,154,3.225881
-71.8,165,3.255874
-77.2,153,3.283042
-59.939899,160,3.311292
-76.45,156,3.652132
-74.9,156,3.681128
-75.45,154,3.708552
-72.9,159,3.736699
-65.6,157,3.764314
-61.825411,161,3.793819
-61.285714,155,3.821501
-54.594368,151,3.848323
-71.735714,183,3.881561
-63.271429,165,3.910678
-68.771429,200,3.945986
-68.3,157,3.973603
-73.25,144,4.00001
-70.247946,158,4.027963
-67.785714,161,4.056473
-64.035714,158,4.084484
-68.3,151,4.112053
-72.490214,163,4.141035
-56.071429,155,4.168438
-66.835714,171,4.199349
-61.139365,162,4.227865
-61.185714,160,4.255973
-75.74835,168,4.285537
-64.892453,153,4.313479
-58.635714,158,4.341443
-63.235714,169,4.713541
-70.6,164,4.744023
-53.161118,161,4.774477
-65.829389,186,4.807728
-65.65,158,4.837362
-64.25,157,4.865594
-51.735714,184,4.898436
-72.3,154,4.925903
-51.285714,176,4.958345
-62.644463,161,4.987202
-61.283492,159,5.01556
-67.55,159,5.044542
-74.8,162,5.073106
-54.949471,183,5.105334
-64.350291,168,5.134704
-64.985714,161,5.163851
-53.255742,156,5.191268
-62.235714,194,5.225223
-58.285714,174,5.256502
-52.171429,163,5.285442
-59.824396,164,5.314368
-55.713465,157,5.342038
-62.35,159,5.370827
-64.223961,164,5.399891
-58.335714,151,5.426509
-66.3,158,5.818276
-55.585714,165,5.848622
-70.3,164,5.879507
-46.671429,157,5.90806
-53.835714,160,5.937334
-51.085714,163,5.967035
-63.185714,167,5.997743
-59.15,157,6.025495
-52.15405,163,6.054297
-52.635714,157,6.081936
-55.971429,173,6.113388
-46.371429,166,6.142589
-50.840643,158,6.170375
-52.921685,165,6.200369
-51.821429,163,6.229904
-48.735714,158,6.25823
-48.521429,166,6.28794
-54.238726,165,6.325582
-56.785714,163,6.366632
-53.185714,169,6.417281
-64.75,154,6.453465
-65.8,165,6.4891
-53.570635,200,6.534444
-52.633863,159,6.563981
-51.637751,156,6.592389
-47.185714,163,6.964241
-47.621429,163,6.993381
-43.721429,162,7.022549
-43.721429,156,7.051488
-44.771429,159,7.080335
-39.971429,158,7.108547
-47.521429,167,7.13815
-46.985714,164,7.168194
-51.885714,165,7.197452
-51.185714,156,7.225035
-56.188898,159,7.257218
-54.635714,159,7.290249
-64.7,160,7.319527
-44.658077,162,7.349002
-48.035714,163,7.378893
-53.885714,159,7.407141
-40.171429,160,7.43544
-47.585714,169,7.465165
-45.435714,159,7.494229
-53.871429,176,7.525271
-49.271429,161,7.553691
-44.985714,151,7.628005
-48.3382,161,7.672879
-47.035714,157,7.714925
-51.085714,161,7.756085
-46.535714,160,8.13264
-48.435714,163,8.163606
-50.071429,175,8.198101
-46.885714,164,8.229858
-48.471429,170,8.260877
-43.121429,161,8.289921
-44.385714,158,8.323029
-39.221429,158,8.354661
-45.221429,162,8.38548
-46.721429,160,8.415311
-49.285714,164,8.446422
-48.821429,176,8.479555
-46.735714,161,8.509315
-46.121429,159,8.546604
-43.721429,155,8.578365
-44.921429,157,8.607179
-44.385714,162,8.63946
-42.771429,153,8.683347
-38.821429,161,8.713955
-48.335714,163,8.745112
-47.235714,159,8.774201
-43.985714,163,8.803611
-45.521429,161,8.83262
-38.021429,161,8.86232
-42.821429,157,8.89054
-41.021429,153,8.917937
-53.785714,162,9.262074
-41.735714,155,9.290726
-39.971429,157,9.318802
-44.071429,160,9.347282
-46.235714,165,9.37744
-41.121429,156,9.405248
-40.871429,154,9.432652
-40.471429,157,9.460598
-47.271429,157,9.489632
-49.871429,156,9.517283
-44.785714,164,9.547252
-45.135714,155,9.574717
-47.171429,165,9.613394
-43.485714,160,9.644726
-44.777987,161,9.674036
-36.421429,160,9.703971
-46.585714,162,9.73394
-45.485714,165,9.763478
-41.821429,150,9.790302
-46.235714,157,9.819453
-36.821429,166,9.848923
-51.785714,161,9.877466
-40.871429,156,9.905832
-38.421429,160,9.934452
-42.485714,159,9.96736
-47.621429,159,9.995681
-34.171429,158,10.335603
-48.385714,160,10.364313
-47.485714,159,10.392601
-38.671429,157,10.420445
-43.021429,152,10.448394
-39.221429,158,10.476546
-43.671429,155,10.504144
-35.571429,165,10.533437
-43.471429,162,10.56309
-40.785714,159,10.591207
-44.321429,163,10.620048
