#{"t_start": 1764358412.189961, "env_id": "None"}
r,l,t
-76.2,152,0.44232
-79.65,152,0.469271
-74.492395,163,0.497812
-74.9,157,0.527073
-76.086813,161,0.555688
-76.65,154,0.582734
-75.7,161,0.611381
-85.7,158,0.640254
-74.151808,161,0.668572
-79.0,159,0.696428
-84.15,165,0.725195
-67.468197,157,0.754351
-69.614778,162,0.782912
-79.7,157,0.810337
-70.935714,163,0.840008
-78.6,155,0.867335
-66.857512,161,0.895573
-81.7,157,0.923254
-78.15,146,0.949723
-75.15,154,0.977128
-73.961006,153,1.003961
-72.285714,161,1.0326
-76.034164,151,1.06047
-74.25,151,1.086911
-62.535714,161,1.1157
-74.185714,200,1.476476
-79.7,158,1.505581
-66.801785,162,1.535016
-73.55,159,1.563907
-71.0,162,1.593715
-70.785714,157,1.621666
-73.384401,156,1.649733
-64.323027,157,1.677464
-71.359888,162,1.707313
-66.249317,155,1.734915
-68.83878,200,1.770479
-68.365338,160,1.799492
-72.271429,193,1.833446
-66.435714,164,1.862233
-61.944563,155,1.889545
-65.835714,150,1.916663
-72.434288,200,1.952602
-81.8,161,1.981234
-69.485714,182,2.014378
-75.15,161,2.042744
-66.471429,200,2.078297
-74.927363,163,2.108148
-74.781953,166,2.13779
-67.35,150,2.164415
-64.985714,160,2.19306
-68.038302,160,2.534851
-75.0,161,2.56384
-65.928943,164,2.592837
-60.335714,156,2.620327
-69.610744,158,2.64906
-65.051037,155,2.676438
-68.535714,164,2.705299
-59.235714,158,2.732958
-69.221429,200,2.769138
-59.3069,160,2.796922
-59.846899,155,2.824926
-69.74883,163,2.855214
-53.464345,164,2.885785
-62.535714,149,2.911995
-66.585714,164,2.940762
-72.3,156,2.969415
-70.9,165,2.997942
-62.95,152,3.024161
-65.87132,157,3.051393
-62.135714,160,3.080531
-56.485714,188,3.113703
-67.9,159,3.142054
-57.285714,160,3.171687
-66.3,157,3.199617
-71.35,157,3.227265
-64.585714,160,3.577744
-60.409815,160,3.60782
-74.85,163,3.637162
-51.635714,165,3.666294
-65.535714,181,3.698977
-58.521671,160,3.727492
-57.035714,161,3.756022
-68.549332,159,3.783842
-61.498237,156,3.812447
-70.0,154,3.839856
-55.235714,156,3.867092
-65.303763,166,3.89595
-72.65,154,3.924311
-55.421429,152,3.951176
-58.885714,159,3.979436
-72.8,152,4.007229
-64.085714,157,4.035208
-60.085714,157,4.062748
-63.835714,162,4.091095
-54.421429,173,4.122609
-74.55,165,4.151798
-67.485714,177,4.183214
-74.15,156,4.210968
-60.935714,160,4.24022
-52.773341,155,4.267636
-83.75,156,4.29539
-53.571263,160,4.634451
-57.996744,159,4.664286
-71.945209,162,4.692969
-58.654063,157,4.721152
-53.535714,163,4.751183
-55.460109,162,4.780154
-53.435714,158,4.80783
-58.471429,161,4.835818
-57.085714,160,4.865046
-55.085714,157,4.893189
-73.45,162,4.92177
-51.785714,164,4.950271
-61.935714,161,4.980045
-57.035714,160,5.008697
-47.057143,155,5.036481
-55.635714,162,5.066421
-52.785714,158,5.094355
-68.3,158,5.122447
-71.121429,191,5.15647
-62.917605,156,5.185337
-43.021429,153,5.212625
-57.521429,183,5.245242
-52.021429,166,5.275853
-58.924088,162,5.304181
-62.566386,159,5.332101
-56.385714,165,5.693659
-46.485714,154,5.721528
-49.385714,163,5.750936
-54.106849,166,5.780083
-56.821429,173,5.811899
-54.921429,161,5.84022
-46.235714,167,5.869646
-57.821429,162,5.897967
