#{"t_start": 1764082784.690572, "env_id": "None"}
r,l,t
-71.3,152,0.533689
-72.885714,200,0.573006
-80.1,153,0.603209
-69.689396,153,0.633914
-78.108328,162,0.665139
-77.93804,165,0.697825
-79.25,150,0.727944
-73.151123,165,0.759674
-70.8,161,0.793002
-79.45,152,0.830019
-67.935714,163,0.877909
-72.429371,164,0.946653
-75.2,148,1.178546
-59.987259,163,1.213196
-72.539632,158,1.246157
-80.0,152,1.278611
-74.23258,162,1.310785
-72.976127,154,1.341858
-70.118931,162,1.376629
-76.1,153,1.40811
-70.558456,155,1.457186
-71.935714,163,1.491576
-70.472037,157,1.522337
-62.621429,174,1.556538
-67.118131,153,1.58928
-64.435714,168,1.623105
-76.35,157,1.653918
-71.720023,157,1.685754
-69.552677,168,1.718499
-77.05,156,1.749069
-74.6,154,1.780991
-64.271429,200,1.820899
-77.0,155,1.85107
-79.8,160,1.882115
-72.935714,162,1.914795
-76.05,150,1.944169
-79.2,160,1.975099
-57.471429,178,2.011145
-72.0,164,2.042786
-76.2,153,2.072512
-60.985714,163,2.107205
-68.924944,167,2.139739
-66.985714,167,2.172301
-73.675397,163,2.204588
-59.641729,163,2.236787
-75.6,151,2.266315
-69.885714,161,2.297926
-73.32534,157,2.329537
-70.335714,200,2.368566
-57.49242,162,2.401199
-74.2,152,2.433648
-72.435714,175,2.46772
-72.237702,162,2.499057
-68.785714,200,2.539222
-67.363363,164,2.571576
-82.9,161,2.603191
-74.570162,160,2.635037
-68.5,154,2.66544
-74.794996,168,2.698233
-72.1,160,2.730245
-72.8,154,2.761987
-73.535714,153,2.792472
-73.45,158,2.823405
-64.821429,200,2.864067
-75.15,158,2.899109
-78.431944,161,2.935612
-77.435714,200,2.985422
-61.721429,200,3.026791
-69.921429,189,3.065308
-68.5,155,3.096786
-73.135714,200,3.138773
-69.535714,168,3.173047
-65.621429,191,3.21094
-69.6,158,3.242085
-59.657143,200,3.282673
-67.985714,154,3.314647
-66.735714,158,3.345332
-76.05,153,3.376187
-72.494377,160,3.407861
-71.7,157,3.439193
-72.821429,200,3.481291
-69.135714,200,3.521191
-63.685714,162,3.553963
-73.45,156,3.588834
-81.4,154,3.62252
-71.639393,157,3.654938
-67.557361,148,3.68538
-71.5,154,3.715685
